Name,Password,Card type,Property,Effect type,Archseries,TCG status,OCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
Number 1: Numeron Gate Ekam,15232745,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Numeron', 'Numeron Gate')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_1:_Numeron_Gate_Ekam,2021-12-09 20:34:06,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,
Number 20: Giga-Brilliant,47805931,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_20:_Giga-Brilliant,2021-06-24 10:44:21,,Xyz Monster,,LIGHT,Insect,3,1800,1800,,,
Number 21: Frozen Lady Justice,57707471,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_21:_Frozen_Lady_Justice,2022-04-20 14:11:18,,Xyz Monster,,WATER,Aqua,6,500,500,,,
Number 22: Zombiestein,73445448,Monster Card,,"('Quick Effect', 'Summoning condition')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_22:_Zombiestein,2022-11-01 15:37:53,,Xyz Monster,,DARK,Zombie,8,4500,1000,,,
"Number 23: Lancelot, Dark Knight of the Underworld",66547759,Monster Card,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')","('Evolving Numbers', 'Laundsallyn', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,"https://yugipedia.com/wiki/Number_23:_Lancelot,_Dark_Knight_of_the_Underworld",2021-06-24 10:44:39,,Xyz Monster,,DARK,Zombie,8,2000,1500,,,
Number 24: Dragulas the Vampiric Dragon,93713837,Monster Card,,"('Quick Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_24:_Dragulas_the_Vampiric_Dragon,2021-06-24 10:44:42,,Xyz Monster,,DARK,Wyrm,6,2400,2800,,,
Number 25: Force Focus,64554883,Monster Card,,"('Quick Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_25:_Force_Focus,2021-06-24 10:44:46,,Xyz Monster,,LIGHT,Machine,6,2800,2400,,,
Number 26: Spaceway Octobypass,39622156,Monster Card,,"('Condition', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_26:_Spaceway_Octobypass,2022-08-14 07:29:18,,Xyz Monster,,LIGHT,Psychic,3,800,2400,,,
Number 27: Dreadnought Dreadnoid,08387138,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_27:_Dreadnought_Dreadnoid,2022-09-15 07:39:01,,Xyz Monster,,WATER,Machine,4,2200,1000,,,
Number 28: Titanic Moth,53701457,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_28:_Titanic_Moth,2023-01-03 23:06:32,,Xyz Monster,,FIRE,Insect,7,2400,2200,,,
Number 29: Mannequin Cat,54191698,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_29:_Mannequin_Cat,2022-04-20 13:25:55,,Xyz Monster,,LIGHT,Beast,2,2000,900,,,
Number 2: Ninja Shadow Mosquito,32453837,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Barian Number', 'Ninja', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_2:_Ninja_Shadow_Mosquito,2022-11-18 12:17:35,,Xyz Monster,,WIND,Insect,2,0,0,,,
Number 2: Numeron Gate Dve,42230449,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Numeron', 'Numeron Gate')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_2:_Numeron_Gate_Dve,2021-12-09 20:34:24,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,
Number 30: Acid Golem of Destruction,81330115,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_30:_Acid_Golem_of_Destruction,2021-08-21 22:50:19,,Xyz Monster,,WATER,Rock,3,3000,3000,,,
Number 31: Embodiment of Punishment,95442074,Monster Card,,"('Continuous Effect', 'Quick Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_31:_Embodiment_of_Punishment,2022-08-13 13:11:29,"('Name',)",Xyz Monster,,DARK,Fiend,1,500,500,,,
Number 32: Shark Drake,65676461,Monster Card,,"('Trigger Effect',)","('Number', 'Number (Spell/Trap archetype)', 'Shark (series)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_32:_Shark_Drake,2022-12-19 19:28:07,,Xyz Monster,,WATER,Sea Serpent,4,2800,2100,,,
Number 33: Chronomaly Machu Mech,39139935,Monster Card,,"('Ignition Effect',)","('Chronomaly', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_33:_Chronomaly_Machu_Mech,2021-06-24 10:45:40,,Xyz Monster,,LIGHT,Machine,5,2400,1500,,,
Number 34: Terror-Byte,32003338,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Number_34:_Terror-Byte,2022-10-29 14:36:23,,Xyz Monster,,DARK,Machine,3,0,2900,,,
Number 35: Ravenous Tarantula,90162951,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_35:_Ravenous_Tarantula,2022-11-14 04:23:12,,Xyz Monster,,DARK,Insect,10,0,0,,,
Number 36: Chronomaly Chateau Huyuk,50260683,Monster Card,,"('Ignition Effect', 'Quick Effect')","('Chronomaly', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_36:_Chronomaly_Chateau_Huyuk,2021-06-24 10:46:00,,Xyz Monster,,LIGHT,Machine,4,2000,2500,,,
Number 37: Hope Woven Dragon Spider Shark,37279508,Monster Card,,"('Condition', 'Trigger Effect')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)', 'Shark (series)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_37:_Hope_Woven_Dragon_Spider_Shark,2022-05-05 18:19:35,,Xyz Monster,,WATER,Sea Serpent,4,2600,2100,,,
Number 38: Hope Harbinger Dragon Titanic Galaxy,63767246,Monster Card,,"('Quick Effect', 'Trigger Effect')","('Evolving Numbers', 'Galaxy', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_38:_Hope_Harbinger_Dragon_Titanic_Galaxy,2022-08-13 12:31:08,,Xyz Monster,,LIGHT,Dragon,8,3000,2500,,,
Number 39: Utopia,84013237,Monster Card,,"('Trigger Effect',)","('Number', 'Number (Spell/Trap archetype)', 'Utopia (archetype)', 'Utopic')",Unlimited,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Number_39:_Utopia,2022-12-06 02:24:33,"('Type',)",Xyz Monster,,LIGHT,Warrior,4,2500,2000,,,
Number 39: Utopia Beyond,21521304,Monster Card,,"('Quick Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Utopia (archetype)', 'Utopic')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_39:_Utopia_Beyond,2021-06-24 10:46:33,,Xyz Monster,,LIGHT,Warrior,6,3000,2500,,,
Number 39: Utopia Double,62517849,Monster Card,,"('Condition', 'Quick Effect')","('Number', 'Number (Spell/Trap archetype)', 'Utopia (archetype)', 'Utopic')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_39:_Utopia_Double,2022-12-11 02:09:56,,Xyz Monster,,LIGHT,Warrior,4,0,2500,,,
Number 39: Utopia Rising,93777634,Monster Card,,"('Condition', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Utopia (archetype)', 'Utopic')",Not yet released,Unlimited,,https://yugipedia.com/wiki/Number_39:_Utopia_Rising,2022-11-22 18:36:05,,Xyz Monster,,LIGHT,Warrior,4,0,2000,,,
Number 39: Utopia Roots,84124261,Monster Card,,"('Trigger Effect',)","('Number', 'Number (Spell/Trap archetype)', 'Utopia (archetype)', 'Utopic')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_39:_Utopia_Roots,2021-06-24 10:46:51,,Xyz Monster,,LIGHT,Warrior,1,500,100,,,
Number 3: Cicada King,04997565,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect')","('Barian Number', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_3:_Cicada_King,2021-06-24 10:39:14,,Xyz Monster,,WIND,Insect,3,1200,2500,,,
Number 3: Numeron Gate Trini,78625448,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Numeron', 'Numeron Gate')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_3:_Numeron_Gate_Trini,2021-12-09 20:35:59,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,
Number 40: Gimmick Puppet of Strings,75433814,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Gimmick Puppet', 'Number', 'Number (Spell/Trap archetype)', 'Puppet')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_40:_Gimmick_Puppet_of_Strings,2021-11-17 12:34:29,,Xyz Monster,,DARK,Machine,8,3000,2000,,,
Number 41: Bagooska the Terribly Tired Tapir,90590303,Monster Card,,"('Continuous Effect', 'Maintenance cost')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_41:_Bagooska_the_Terribly_Tired_Tapir,2022-06-22 01:52:30,,Xyz Monster,,EARTH,Fiend,4,2100,2000,,,
Number 42: Galaxy Tomahawk,10389142,Monster Card,,"('Ignition Effect',)","('Galaxy', 'Number', 'Number (Spell/Trap archetype)')",Forbidden,Unlimited,,https://yugipedia.com/wiki/Number_42:_Galaxy_Tomahawk,2022-06-22 01:51:54,,Xyz Monster,,WIND,Machine,7,0,3000,,,
Number 43: Manipulator of Souls,56051086,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_43:_Manipulator_of_Souls,2021-06-24 10:47:23,,Xyz Monster,,DARK,Fiend,2,0,0,,,
Number 44: Sky Pegasus,80764541,Monster Card,,"('Ignition Effect',)","('Mythyrian Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_44:_Sky_Pegasus,2021-06-24 10:47:31,,Xyz Monster,,LIGHT,Beast,4,1800,1600,,,
Number 45: Crumble Logos the Prophet of Demolition,29208536,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_45:_Crumble_Logos_the_Prophet_of_Demolition,2021-06-24 10:47:43,,Xyz Monster,,EARTH,Zombie,2,2200,0,,,
Number 46: Dragluon,02978414,Monster Card,,"('Ignition Effect',)","('Mythyrian Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_46:_Dragluon,2023-01-03 23:05:45,,Xyz Monster,,LIGHT,Dragon,8,3000,3000,,,
Number 47: Nightmare Shark,31320433,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Shark (series)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_47:_Nightmare_Shark,2021-11-15 00:20:07,,Xyz Monster,,WATER,Sea Serpent,3,2000,2000,,,
Number 48: Shadow Lich,01426714,Monster Card,,"('Continuous Effect', 'Quick Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_48:_Shadow_Lich,2022-08-13 12:31:50,,Xyz Monster,,DARK,Zombie,3,1800,0,,,
Number 49: Fortune Tune,16259549,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_49:_Fortune_Tune,2021-07-08 13:30:22,,Xyz Monster,,LIGHT,Winged Beast,3,400,900,,,
Number 4: Numeron Gate Catvari,04019153,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Numeron', 'Numeron Gate')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_4:_Numeron_Gate_Catvari,2021-12-09 20:35:59,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,
Number 4: Stealth Kragen,67557908,Monster Card,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')","('Barian Number', 'Number', 'Number (Spell/Trap archetype)', 'Stealth Kragen')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_4:_Stealth_Kragen,2021-12-03 11:48:21,,Xyz Monster,,WATER,Aqua,4,1900,1500,,,
Number 50: Blackship of Corn,51735257,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_50:_Blackship_of_Corn,2021-06-24 10:48:12,,Xyz Monster,,DARK,Plant,4,2100,1500,,,
Number 51: Finisher the Strong Arm,56292140,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Hole', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_51:_Finisher_the_Strong_Arm,2021-06-24 10:48:17,,Xyz Monster,,EARTH,Rock,3,2600,0,,,
Number 52: Diamond Crab King,07194917,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_52:_Diamond_Crab_King,2021-11-18 15:33:04,,Xyz Monster,,EARTH,Rock,4,0,3000,,,
Number 53: Heart-eartH,23998625,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_53:_Heart-eartH,2021-06-24 10:48:26,,Xyz Monster,,DARK,Fiend,5,100,100,,,
Number 54: Lion Heart,54366836,Monster Card,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')","('Mythyrian Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_54:_Lion_Heart,2021-06-24 10:48:34,,Xyz Monster,,EARTH,Warrior,1,100,100,,,
Number 55: Gogogo Goliath,46871387,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Gogogo', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_55:_Gogogo_Goliath,2021-06-24 10:48:43,,Xyz Monster,,EARTH,Rock,4,2400,1200,,,
Number 56: Gold Rat,55935416,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_56:_Gold_Rat,2023-01-03 20:33:40,,Xyz Monster,,LIGHT,Beast,1,500,600,,,
Number 57: Tri-Head Dust Dragon,53244294,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_57:_Tri-Head_Dust_Dragon,2021-06-24 10:48:54,,Xyz Monster,,FIRE,Dragon,4,100,2600,,,
Number 58: Burner Visor,93108839,Monster Card,,"('Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_58:_Burner_Visor,2022-07-24 09:44:57,,Xyz Monster,,FIRE,Pyro,4,1000,1000,,,
Number 59: Crooked Cook,82697249,Monster Card,,"('Continuous Effect', 'Quick Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_59:_Crooked_Cook,2022-10-04 12:13:42,,Xyz Monster,,FIRE,Warrior,4,2300,200,,,
Number 5: Doom Chimera Dragon,90126061,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_5:_Doom_Chimera_Dragon,2021-12-09 20:34:50,,Xyz Monster,,DARK,Dragon,5,0,0,,,
Number 60: Dugares the Timeless,66011101,Monster Card,,"('Condition', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_60:_Dugares_the_Timeless,2022-05-05 13:23:06,,Xyz Monster,,FIRE,Fiend,4,1200,1200,,,
Number 61: Volcasaurus,29669359,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_61:_Volcasaurus,2021-06-24 10:49:16,,Xyz Monster,,FIRE,Dinosaur,5,2500,1000,,,
Number 62: Galaxy-Eyes Prime Photon Dragon,31801517,Monster Card,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')","('-Eyes Dragon', 'Galaxy', 'Galaxy-Eyes', 'Number', 'Number (Spell/Trap archetype)', 'Photon')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_62:_Galaxy-Eyes_Prime_Photon_Dragon,2022-10-14 15:58:24,,Xyz Monster,,LIGHT,Dragon,8,4000,3000,,,
Number 63: Shamoji Soldier,89642993,Monster Card,,"('Condition', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_63:_Shamoji_Soldier,2021-06-24 10:49:36,,Xyz Monster,,LIGHT,Fairy,1,0,2000,,,
Number 64: Ronin Raccoon Sandayu,39972129,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Mythyrian Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_64:_Ronin_Raccoon_Sandayu,2022-08-10 00:10:29,,Xyz Monster,,EARTH,Beast,2,1000,1000,,,
Number 65: Djinn Buster,03790062,Monster Card,,"('Quick Effect',)","('Djinn', 'Mythyrian Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_65:_Djinn_Buster,2022-10-04 13:23:41,,Xyz Monster,,DARK,Fiend,2,1300,0,,,
Number 66: Master Key Beetle,76067258,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_66:_Master_Key_Beetle,2021-11-27 22:11:37,,Xyz Monster,,DARK,Insect,4,2500,800,,,
Number 67: Pair-a-Dice Smasher,35772782,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_67:_Pair-a-Dice_Smasher,2022-08-14 07:29:34,,Xyz Monster,,LIGHT,Fairy,5,2100,2100,,,
Number 68: Sanaphond the Sky Prison,23085002,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_68:_Sanaphond_the_Sky_Prison,2021-06-24 10:50:08,,Xyz Monster,,DARK,Rock,8,2100,2700,,,
Number 69: Heraldry Crest,02407234,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Heraldry', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_69:_Heraldry_Crest,2021-06-24 10:50:13,,Xyz Monster,,LIGHT,Psychic,4,2600,1400,,,
Number 6: Chronomaly Atlandis,09161357,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Chronomaly', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_6:_Chronomaly_Atlandis,2021-12-08 05:46:59,,Xyz Monster,,LIGHT,Machine,6,2600,3000,,,
Number 70: Malevolent Sin,80796456,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_70:_Malevolent_Sin,2021-06-24 10:50:21,,Xyz Monster,,DARK,Insect,4,2400,1200,,,
Number 71: Rebarian Shark,59479050,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Number', 'Number (Spell/Trap archetype)', 'Shark (series)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_71:_Rebarian_Shark,2022-08-29 00:34:01,,Xyz Monster,,WATER,Dragon,3,0,2000,,,
Number 72: Shogi Rook,75253697,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_72:_Shogi_Rook,2021-11-15 06:12:16,,Xyz Monster,,EARTH,Beast-Warrior,6,2500,1200,,,
Number 73: Abyss Splash,36076683,Monster Card,,"('Quick Effect',)","('Abyss-', 'Mythyrian Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_73:_Abyss_Splash,2021-11-15 00:23:47,,Xyz Monster,,WATER,Warrior,5,2400,1400,,,
Number 74: Master of Blades,16037007,Monster Card,,"('Quick Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_74:_Master_of_Blades,2022-04-15 22:30:35,,Xyz Monster,,EARTH,Psychic,7,2700,2300,,,
Number 75: Bamboozling Gossip Shadow,71166481,Monster Card,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_75:_Bamboozling_Gossip_Shadow,2022-06-14 14:06:14,,Xyz Monster,,WIND,Spellcaster,3,1000,2600,,,
Number 76: Harmonizer Gradielle,92015800,Monster Card,,"('Condition', 'Continuous Effect', 'Quick Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_76:_Harmonizer_Gradielle,2022-04-20 14:06:50,,Xyz Monster,,LIGHT,Fairy,7,2700,2100,,,
Number 77: The Seven Sins,62541668,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_77:_The_Seven_Sins,2022-11-15 04:16:32,,Xyz Monster,,DARK,Fiend,12,4000,3000,,,
Number 78: Number Archive,29085954,Monster Card,,"('Quick Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_78:_Number_Archive,2021-06-24 10:51:03,,Xyz Monster,,LIGHT,Spellcaster,1,0,0,,,
Number 79: Battlin' Boxer Nova Kaiser,71921856,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')","(""Battlin' Boxer"", 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_79:_Battlin%27_Boxer_Nova_Kaiser,2021-06-24 10:51:07,,Xyz Monster,,FIRE,Warrior,4,2300,1600,,,
Number 7: Lucky Straight,82308875,Monster Card,,"('Ignition Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_7:_Lucky_Straight,2022-07-24 06:24:52,,Xyz Monster,,LIGHT,Fairy,7,700,700,,,
Number 80: Rhapsody in Berserk,93568288,Monster Card,,"('Condition', 'Continuous-like Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_80:_Rhapsody_in_Berserk,2021-06-24 10:51:12,,Xyz Monster,,DARK,Fiend,4,0,1200,,,
Number 81: Superdreadnought Rail Cannon Super Dora,49032236,Monster Card,,"('Quick Effect',)","('Number', 'Number (Spell/Trap archetype)', 'Train')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_81:_Superdreadnought_Rail_Cannon_Super_Dora,2022-10-31 13:54:54,,Xyz Monster,,EARTH,Machine,10,3200,4000,,,
Number 82: Heartlandraco,31437713,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_82:_Heartlandraco,2022-08-13 12:32:15,,Xyz Monster,,EARTH,Dragon,4,2000,1500,,,
Number 83: Galaxy Queen,48928529,Monster Card,,"('Ignition Effect',)","('Galaxy', 'Number', 'Number (Spell/Trap archetype)', 'Sparrow Family')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_83:_Galaxy_Queen,2022-04-20 13:42:36,,Xyz Monster,,DARK,Spellcaster,1,500,500,,,
Number 84: Pain Gainer,26556950,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition')","('Evolving Numbers', 'Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_84:_Pain_Gainer,2022-11-14 18:12:31,,Xyz Monster,,DARK,Insect,11,0,0,,,
Number 85: Crazy Box,42421606,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_85:_Crazy_Box,2021-06-24 10:51:40,,Xyz Monster,,DARK,Fiend,4,3000,300,,,
Number 86: Heroic Champion - Rhongomyniad,63504681,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Heroic', 'Heroic Champion', 'Number', 'Number (Spell/Trap archetype)')",Forbidden,Unlimited,,https://yugipedia.com/wiki/Number_86:_Heroic_Champion_-_Rhongomyniad,2021-06-24 10:51:45,,Xyz Monster,,DARK,Warrior,4,1500,1500,,,
Number 87: Queen of the Night,89516305,Monster Card,,"('Quick Effect',)","('Number', 'Number (Spell/Trap archetype)')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_87:_Queen_of_the_Night,2022-04-20 14:27:34,,Xyz Monster,,WATER,Plant,8,3200,2800,,,
Number 88: Gimmick Puppet of Leo,48995978,Monster Card,,"('Condition', 'Ignition Effect')","('Duel winner', 'Gimmick Puppet', 'Number', 'Number (Spell/Trap archetype)', 'Puppet')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Number_88:_Gimmick_Puppet_of_Leo,2022-10-05 09:58:08,,Xyz Monster,,DARK,Machine,8,3200,2300,,,
