Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
MRL-020,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-020,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-020,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-020,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-021,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-021,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-021,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-021,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-021,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-021,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-022,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-022,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-022,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-022,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-022,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-022,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-023,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-023,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-023,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-023,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-023,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-023,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-024,Spell Ruler,"('Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-024,Spell Ruler,"('Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-024,Spell Ruler,"('Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-024,Spell Ruler,"('Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-024,Spell Ruler,"('Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-024,Spell Ruler,"('Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-025,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-025,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-025,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-025,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-025,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-025,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-026,Spell Ruler,"('Super Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-026,Spell Ruler,"('Super Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-026,Spell Ruler,"('Super Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-026,Spell Ruler,"('Super Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-026,Spell Ruler,"('Super Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-026,Spell Ruler,"('Super Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-027,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-027,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-027,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-027,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-027,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-027,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-028,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-028,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-028,Spell Ruler,"('Super Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-028,Spell Ruler,"('Super Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-028,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-028,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-029,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-029,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-029,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-029,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-029,Spell Ruler,"('Ultra Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-029,Spell Ruler,"('Ultra Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-030,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-030,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-030,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-030,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-030,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-030,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-031,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-031,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-031,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-031,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-031,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-031,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-032,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-032,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-032,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-032,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-032,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-032,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-033,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-033,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-033,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-033,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-033,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-033,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-034,Spell Ruler,"('Super Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-034,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-034,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-034,Spell Ruler,"('Super Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-034,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-034,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-035,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-035,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-035,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-035,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-035,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-035,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-036,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-036,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-036,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-036,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-036,Spell Ruler,"('Ultra Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-036,Spell Ruler,"('Ultra Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-037,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-037,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-037,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-037,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-037,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-037,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-038,Spell Ruler,"('Super Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-038,Spell Ruler,"('Super Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-038,Spell Ruler,"('Super Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-038,Spell Ruler,"('Super Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-038,Spell Ruler,"('Super Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-038,Spell Ruler,"('Super Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-039,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-039,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-039,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-039,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-039,Spell Ruler,"('Ultra Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-039,Spell Ruler,"('Ultra Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-040,Spell Ruler,"('Super Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-040,Spell Ruler,"('Super Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-040,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-040,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-040,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-040,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-041,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-041,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-041,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-041,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-041,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-041,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-042,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-042,Spell Ruler,"('Short Print',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-042,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-042,Spell Ruler,"('Normal Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-042,Spell Ruler,"('Normal Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-042,Spell Ruler,"('Short Print',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-043,Spell Ruler,"('Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-043,Spell Ruler,"('Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-043,Spell Ruler,"('Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-043,Spell Ruler,"('Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-043,Spell Ruler,"('Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-043,Spell Ruler,"('Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-044,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-044,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-044,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-044,Spell Ruler,"('Common',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-044,Spell Ruler,"('Common',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-044,Spell Ruler,"('Common',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-045,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-045,Spell Ruler,"('Ultra Rare',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-045,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-045,Spell Ruler,"('Ultra Rare',)",NA,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
MRL-045,Spell Ruler,"('Ultra Rare',)",NA,2002-09-16,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-045,Spell Ruler,"('Ultra Rare',)",AE,2002-10-24,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,New
MRL-046,Spell Ruler,"('Common',)",AE,,Core Booster,Booster pack,"('Relinquished',)",https://yugipedia.com/wiki/Spell_Ruler,2022-07-23 10:14:05,Old
