Card number,Name,Rarity,Print,Modification date,Release,Cover card,Version
RD/ORP1-KR052,Yamiruler the Dark Delayer - Supreme Soldier Spear,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR053,CAN - I:D,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR054,Future Aeromancer,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR055,Beast Gear Emperor Glider Fox,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR056,Rage Wrecker Dragon Angerogue,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR057,Almastra XI - Aquarius,"('Ultra Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR058,Magic Mirror Youth,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR059,Rising Soldier,"('Super Rare', 'Over Rush Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR060,Cobalt Kobold,"('Common',)",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR061,Delirium Lampyris,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR062,Love Angel,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR063,Valkyrian Call,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR064,Cintamani of Saturnius,"('Ultra Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR065,Heavenly Selection,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR066,Valkyrian Guard,"('Common', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR067,Word Working,"('Ultra Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR068,Dragonlion Pit Trap,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR069,Dark Hole,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
RD/ORP1-KR070,Power Bond,"('Super Rare', 'Secret Rare')",New,2023-02-22 12:56:25,2023-02-22,"('Blue-Eyes White Dragon (Rush Duel)',)",New
