Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
Imaginary Arc Turbulence,Trap Card,Normal Trap Card,"('Metarion',)",,,,"('Effect',)",,False,False,,,,Imaginary Arc Turbulence,https://yugipedia.com/wiki/Imaginary_Arc_Turbulence,,2023-01-05 22:47:42,
Imaginary Arc Turnback,Trap Card,Normal Trap Card,"('Metarion',)",,,,"('Effect',)",,False,False,,,,Imaginary Arc Turnback,https://yugipedia.com/wiki/Imaginary_Arc_Turnback,,2023-01-30 22:58:25,
Imptailing Crisis,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Imptailing Crisis,https://yugipedia.com/wiki/Imptailing_Crisis,,2022-10-20 06:54:30,
Indigo Prison,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Indigo Prison,https://yugipedia.com/wiki/Indigo_Prison,,2023-02-04 14:17:55,
Infernal Kappa Diwet,Monster Card,,"('Kappa',)",WATER,Effect Monster,Aqua,"('Effect',)",1000,False,False,100,,3,Infernal Kappa Diwet,https://yugipedia.com/wiki/Infernal_Kappa_Diwet,,2022-11-17 12:10:57,
Inferno Fire Blast,Spell Card,Normal Spell Card,"('Signature move',)",,,,"('Effect',)",,False,False,,,,Inferno Fire Blast (Rush Duel),https://yugipedia.com/wiki/Inferno_Fire_Blast_(Rush_Duel),,2022-09-25 03:04:58,
Infinidream Constructor Wyrm Buildrim,Monster Card,,"('Constructor',)",EARTH,Fusion Monster,Wyrm,"('Effect',)",2500,False,False,3000,,9,Infinidream Constructor Wyrm Buildrim,https://yugipedia.com/wiki/Infinidream_Constructor_Wyrm_Buildrim,,2022-10-31 18:39:34,
Innocent Lancer,Monster Card,,,FIRE,Effect Monster,Pyro,"('Effect',)",900,False,False,1700,,6,Innocent Lancer,https://yugipedia.com/wiki/Innocent_Lancer,,2022-12-21 09:44:49,
Insect Rampage,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Insect Rampage,https://yugipedia.com/wiki/Insect_Rampage,,2022-09-21 06:25:43,
Inside Out Roll,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Inside Out Roll,https://yugipedia.com/wiki/Inside_Out_Roll,,2022-10-30 07:46:30,
Insurrection Dragon,Monster Card,,,WIND,Effect Monster,Dragon,"('Effect',)",0,False,False,0,,7,Insurrection Dragon,https://yugipedia.com/wiki/Insurrection_Dragon,,2022-09-21 06:08:17,
Interstellime,Monster Card,,,LIGHT,Normal Monster,Galaxy (Type),,0,False,False,1000,,1,Interstellime,https://yugipedia.com/wiki/Interstellime,,2022-12-21 09:16:29,
Intrude Beetle,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Intrude Beetle,https://yugipedia.com/wiki/Intrude_Beetle,,2022-09-21 06:03:51,
Invading Nature,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Invading Nature,https://yugipedia.com/wiki/Invading_Nature,,2022-09-21 06:00:54,
Iris the Rare Shadow Flower,Monster Card,,"('Shadow Flower',)",EARTH,Effect Monster,Plant,"('Effect',)",0,False,False,500,,2,Iris the Rare Shadow Flower,https://yugipedia.com/wiki/Iris_the_Rare_Shadow_Flower,,2023-02-04 14:25:04,
Iron Onslaught,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Iron Onslaught,https://yugipedia.com/wiki/Iron_Onslaught,,2022-12-21 09:24:15,
It's Right Behind You!,Trap Card,Normal Trap Card,"('Ghost Story',)",,,,"('Effect',)",,False,False,,,,It's Right Behind You!,https://yugipedia.com/wiki/It%27s_Right_Behind_You!,,2022-10-20 06:57:43,
JAM:P Check!,Spell Card,Normal Spell Card,"('JAM',)",,,,"('Effect',)",,False,False,,,,JAM:P Check!,https://yugipedia.com/wiki/JAM:P_Check!,,2023-02-04 14:19:00,
JAM:P Set!,Spell Card,Normal Spell Card,"('JAM',)",,,,"('Effect',)",,False,False,,,,JAM:P Set!,https://yugipedia.com/wiki/JAM:P_Set!,,2023-01-05 22:41:59,
JAM:P Start!,Spell Card,Normal Spell Card,"('JAM',)",,,,"('Effect',)",,False,False,,,,JAM:P Start!,https://yugipedia.com/wiki/JAM:P_Start!,,2023-01-24 18:43:36,
JAM:P Up!,Spell Card,Normal Spell Card,"('JAM',)",,,,"('Effect',)",,False,False,,,,JAM:P Up!,https://yugipedia.com/wiki/JAM:P_Up!,,2022-12-10 20:35:55,
Jarmalewe,Monster Card,,,FIRE,Normal Monster,Pyro,,400,False,False,1500,,4,Jarmalewe,https://yugipedia.com/wiki/Jarmalewe,,2022-12-21 09:45:45,
Jasmine the Shadow Flower Festival,Monster Card,,"('Shadow Flower',)",EARTH,Effect Monster,Plant,"('Effect',)",200,False,False,300,,1,Jasmine the Shadow Flower Festival,https://yugipedia.com/wiki/Jasmine_the_Shadow_Flower_Festival,,2022-09-21 06:08:14,
Javelin Dux the Shadow Flower Piercer,Monster Card,,"('Shadow Flower',)",EARTH,Fusion Monster,Plant,"('Effect',)",2000,False,False,2800,,9,Javelin Dux the Shadow Flower Piercer,https://yugipedia.com/wiki/Javelin_Dux_the_Shadow_Flower_Piercer,,2023-02-04 14:21:53,
Jet Barracuda,Monster Card,,,WATER,Normal Monster,Fish,,1000,False,False,800,,3,Jet Barracuda,https://yugipedia.com/wiki/Jet_Barracuda,,2022-09-21 04:07:11,
Jewelry Trap Hole,Trap Card,Normal Trap Card,"('Bubble Era', 'Trap Hole (archetype)')",,,,"('Effect',)",,False,False,,,,Jewelry Trap Hole,https://yugipedia.com/wiki/Jewelry_Trap_Hole,,2022-10-20 06:59:51,
Jinzo,Monster Card,,,DARK,Effect Monster,Machine,"('Continuous Effect',)",1500,True,False,2400,,6,Jinzo (Rush Duel),https://yugipedia.com/wiki/Jinzo_(Rush_Duel),,2022-10-30 06:16:20,
Joining Chairs,Trap Card,Normal Trap Card,"('Chair',)",,,,"('Effect',)",,False,False,,,,Joining Chairs,https://yugipedia.com/wiki/Joining_Chairs,,2022-10-30 07:48:40,
Jointech Ace,Monster Card,,"('Jointech',)",EARTH,Normal Monster,Machine,,0,False,False,1500,,4,Jointech Ace,https://yugipedia.com/wiki/Jointech_Ace,,2022-12-21 09:23:04,
Jointech Bumper,Trap Card,Normal Trap Card,"('Jointech',)",,,,"('Effect',)",,False,False,,,,Jointech Bumper,https://yugipedia.com/wiki/Jointech_Bumper,,2022-09-20 11:18:54,
Jointech Great Wall,Trap Card,Normal Trap Card,"('Jointech',)",,,,"('Effect',)",,False,False,,,,Jointech Great Wall,https://yugipedia.com/wiki/Jointech_Great_Wall,,2023-01-21 14:48:12,
Jointech Leo,Monster Card,,"('Jointech',)",EARTH,Effect Monster,Machine,"('Effect',)",0,False,False,1400,,4,Jointech Leo,https://yugipedia.com/wiki/Jointech_Leo,,2023-01-23 16:05:49,
Jointech Raptor,Monster Card,,"('Jointech',)",EARTH,Effect Monster,Machine,"('Effect',)",1200,False,False,800,,4,Jointech Raptor,https://yugipedia.com/wiki/Jointech_Raptor,,2022-11-02 12:21:47,
Jointech Rex,Monster Card,,"('Jointech',)",EARTH,Effect Monster,Machine,"('Effect',)",1500,False,False,2500,,7,Jointech Rex,https://yugipedia.com/wiki/Jointech_Rex,"('Alternate',)",2022-12-21 09:57:11,
Jointech Rushhorn,Spell Card,Equip Spell Card,"('Jointech',)",,,,"('Effect',)",,False,False,,,,Jointech Rushhorn,https://yugipedia.com/wiki/Jointech_Rushhorn,,2023-02-04 14:20:46,
Jointech Stegosilos,Monster Card,,"('Jointech',)",EARTH,Effect Monster,Machine,"('Effect',)",1500,False,False,2500,,7,Jointech Stegosilos,https://yugipedia.com/wiki/Jointech_Stegosilos,,2022-11-26 13:26:38,
Jointech Tinplatesaurus,Monster Card,,"('Jointech',)",EARTH,Effect Monster,Machine,"('Effect',)",2000,False,False,2300,,7,Jointech Tinplatesaurus,https://yugipedia.com/wiki/Jointech_Tinplatesaurus,,2023-01-21 13:55:35,
Jointech Tossceratops,Monster Card,,"('Jointech',)",EARTH,Effect Monster,Machine,"('Effect',)",2500,False,False,1900,,7,Jointech Tossceratops,https://yugipedia.com/wiki/Jointech_Tossceratops,,2022-12-21 09:57:00,
Judgment of the Rising Light,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Judgment of the Rising Light,https://yugipedia.com/wiki/Judgment_of_the_Rising_Light,,2022-12-21 09:39:55,
Jurassic Oasis,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Jurassic Oasis,https://yugipedia.com/wiki/Jurassic_Oasis,,2022-09-21 06:15:34,
Jurassic World,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Jurassic World (Rush Duel),https://yugipedia.com/wiki/Jurassic_World_(Rush_Duel),,2022-11-19 01:03:42,
Kaibaman,Monster Card,,,LIGHT,Effect Monster,Warrior,"('Effect',)",700,False,False,200,,3,Kaibaman (Rush Duel),https://yugipedia.com/wiki/Kaibaman_(Rush_Duel),,2022-09-25 03:04:04,
Kanan the Security Guard,Monster Card,,,DARK,Normal Monster,Aqua,,0,False,False,1400,,4,Kanan the Security Guard,https://yugipedia.com/wiki/Kanan_the_Security_Guard,,2022-12-10 21:57:42,
Kanan the Sword Diva,Monster Card,,"('Bubble Era',)",LIGHT,Normal Monster,Aqua,,0,False,False,1400,,4,Kanan the Sword Diva,https://yugipedia.com/wiki/Kanan_the_Sword_Diva,,2022-10-20 07:01:29,
Kanan the Swordmaiden,Monster Card,,"('Bubble Actress',)",WATER,Normal Monster,Aqua,,0,False,False,1400,,4,Kanan the Swordmaiden,https://yugipedia.com/wiki/Kanan_the_Swordmaiden,,2022-07-12 15:12:18,
Kappa Avenger,Monster Card,,"('Kappa',)",WATER,Normal Monster,Aqua,,900,False,False,1200,,3,Kappa Avenger (Rush Duel),https://yugipedia.com/wiki/Kappa_Avenger_(Rush_Duel),,2022-07-29 19:38:56,
Kappa Emperor River Slider,Monster Card,,"('Kappa',)",WATER,Effect Monster,Aqua,"('Effect',)",1500,False,False,2500,,7,Kappa Emperor River Slider,https://yugipedia.com/wiki/Kappa_Emperor_River_Slider,,2022-11-17 12:10:48,
Kappa Rapper,Monster Card,,"('Kappa',)",WATER,Normal Monster,Aqua,,1300,False,False,800,,3,Kappa Rapper,https://yugipedia.com/wiki/Kappa_Rapper,,2022-08-09 03:41:42,
Kappa's Gas,Trap Card,Normal Trap Card,"('Kappa',)",,,,"('Effect',)",,False,False,,,,Kappa's Gas,https://yugipedia.com/wiki/Kappa%27s_Gas,,2022-11-17 12:06:23,
Kappa's River Flow,Trap Card,Normal Trap Card,"('Kappa',)",,,,"('Effect',)",,False,False,,,,Kappa's River Flow,https://yugipedia.com/wiki/Kappa%27s_River_Flow,,2022-11-17 12:06:35,
Karatake the Talismanic Warrior,Monster Card,,"('Talismanic',)",FIRE,Effect Monster,Warrior,"('Effect',)",1000,False,False,1000,,4,Karatake the Talismanic Warrior,https://yugipedia.com/wiki/Karatake_the_Talismanic_Warrior,,2022-12-26 02:42:46,
Karchizark the Unequaled,Monster Card,,,FIRE,Effect Monster,Winged Beast,"('Effect',)",2100,False,False,2100,,7,Karchizark the Unequaled,https://yugipedia.com/wiki/Karchizark_the_Unequaled,,2022-12-23 14:39:53,
Kataomoiruka,Monster Card,,"('Dolphin',)",WATER,Effect Monster,Sea Serpent,"('Effect',)",500,False,False,1200,,3,Kataomoiruka,https://yugipedia.com/wiki/Kataomoiruka,,2022-09-21 06:09:33,
Kengo Shogun of the Crescent Moon,Monster Card,,,EARTH,Fusion Monster,Warrior,"('Effect',)",2000,False,False,2600,,8,Kengo Shogun of the Crescent Moon,https://yugipedia.com/wiki/Kengo_Shogun_of_the_Crescent_Moon,,2022-10-31 18:39:05,
Kesshin the Dark Decimator,Monster Card,,"('Three Rulers',)",DARK,Effect Monster,Warrior,"('Effect',)",0,False,False,0,,5,Kesshin the Dark Decimator,https://yugipedia.com/wiki/Kesshin_the_Dark_Decimator,,2022-10-20 07:37:19,
Keytar Kid,Monster Card,,"('Band Group',)",DARK,Normal Monster,Psychic,,0,False,False,700,,2,Keytar Kid,https://yugipedia.com/wiki/Keytar_Kid,,2022-04-20 14:25:27,
Kimeluna the Dark Shifter,Monster Card,,"('Fiendish Commander',)",DARK,Effect Monster,Warrior,"('Effect',)",2500,False,False,0,,8,Kimeluna the Dark Shifter,https://yugipedia.com/wiki/Kimeluna_the_Dark_Shifter,"('Alternate',)",2023-01-31 16:51:28,
Kimeruler the Dark Raider,Monster Card,,"('Three Rulers',)",DARK,Effect Monster,Warrior,"('Effect',)",2000,False,False,2500,,8,Kimeruler the Dark Raider,https://yugipedia.com/wiki/Kimeruler_the_Dark_Raider,,2022-04-23 23:38:24,
Kimeterasu the Rising Luna,Monster Card,,"('Three Rulers',)",LIGHT,Fusion Monster,Celestial Warrior,"('Multi-Choice Effect',)",3000,False,False,2500,,9,Kimeterasu the Rising Luna,https://yugipedia.com/wiki/Kimeterasu_the_Rising_Luna,,2023-01-16 00:40:44,
King's Majesty,Trap Card,Normal Trap Card,"(""King's"",)",,,,"('Effect',)",,False,False,,,,King's Majesty,https://yugipedia.com/wiki/King%27s_Majesty,,2022-02-12 04:42:03,
King's Reward,Spell Card,Normal Spell Card,"(""King's"",)",,,,"('Effect',)",,False,False,,,,King's Reward,https://yugipedia.com/wiki/King%27s_Reward,,2022-08-14 05:44:08,
King's Right,Trap Card,Normal Trap Card,"(""King's"",)",,,,"('Effect',)",,False,False,,,,King's Right,https://yugipedia.com/wiki/King%27s_Right,,2022-07-06 01:16:13,
Konpeitrion,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",0,False,False,0,,1,Konpeitrion,https://yugipedia.com/wiki/Konpeitrion,,2022-12-21 09:16:24,
Kudzu the Bruised Shadow Flower,Monster Card,,"('Shadow Flower',)",EARTH,Normal Monster,Plant,,200,False,False,900,,3,Kudzu the Bruised Shadow Flower,https://yugipedia.com/wiki/Kudzu_the_Bruised_Shadow_Flower,,2022-10-05 20:19:33,
Kumamon,Monster Card,,,WATER,Normal Monster,Pyro,,900,False,False,900,,2,Kumamon,https://yugipedia.com/wiki/Kumamon,,2021-04-01 12:58:20,
Kuribot,Monster Card,,,DARK,Effect Monster,Fiend,"('Effect',)",200,False,False,300,,1,Kuribot,https://yugipedia.com/wiki/Kuribot,"('Alternate', 'Edited')",2023-01-03 23:13:40,
Kuribotorero,Monster Card,,,WATER,Fusion Monster,Fiend,"('Effect',)",2200,False,False,1200,,6,Kuribotorero,https://yugipedia.com/wiki/Kuribotorero,,2022-10-31 18:38:49,
Kuripotriple,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Kuripotriple,https://yugipedia.com/wiki/Kuripotriple,,2022-08-24 14:32:06,
Kurobana the Shadow Flower Wolf,Monster Card,,"('Shadow Flower',)",EARTH,Normal Monster,Plant,,1300,False,False,800,,3,Kurobana the Shadow Flower Wolf,https://yugipedia.com/wiki/Kurobana_the_Shadow_Flower_Wolf,,2022-09-21 06:14:43,
Kuzuha the Talismanic Supreme Sage,Monster Card,,"('Talismanic',)",DARK,Fusion Monster,Warrior,"('Effect',)",1600,False,False,2500,,8,Kuzuha the Talismanic Supreme Sage,https://yugipedia.com/wiki/Kuzuha_the_Talismanic_Supreme_Sage,,2023-02-04 14:21:36,
LaMoon,Monster Card,,,LIGHT,Normal Monster,Spellcaster,,1700,False,False,1200,,5,LaMoon (Rush Duel),https://yugipedia.com/wiki/LaMoon_(Rush_Duel),"('Edited',)",2022-10-11 17:16:29,
LaMoon the Party Princess,Monster Card,,"('Bubble Era',)",LIGHT,Normal Monster,Aqua,,0,False,False,1200,,3,LaMoon the Party Princess,https://yugipedia.com/wiki/LaMoon_the_Party_Princess,,2022-10-20 07:01:16,
Labyrinth Tank,Monster Card,,,DARK,Fusion Monster,Machine,,2400,False,False,2400,,7,Labyrinth Tank (Rush Duel),https://yugipedia.com/wiki/Labyrinth_Tank_(Rush_Duel),,2022-04-23 01:15:40,
Lanterncoilfish,Monster Card,,,WATER,Normal Monster,Thunder,,0,False,False,1500,,4,Lanterncoilfish,https://yugipedia.com/wiki/Lanterncoilfish,,2023-01-12 19:35:54,
Last Day of the Pretty☆Witch,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Last Day of the Pretty☆Witch,https://yugipedia.com/wiki/Last_Day_of_the_Pretty%E2%98%86Witch,,2022-10-20 07:00:16,
Lauan Adventurers,Monster Card,,,WIND,Normal Monster,Plant,,0,False,False,1500,,4,Lauan Adventurers,https://yugipedia.com/wiki/Lauan_Adventurers,,2022-09-21 06:16:02,
Laughing Grass,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Laughing Grass,https://yugipedia.com/wiki/Laughing_Grass,,2022-09-21 05:56:39,
Legend Magician,Monster Card,,,LIGHT,Effect Monster,Spellcaster,"('Effect',)",300,False,False,1100,,4,Legend Magician,https://yugipedia.com/wiki/Legend_Magician,,2023-02-01 11:41:47,
Legend Saber,Monster Card,,,LIGHT,Effect Monster,Warrior,"('Effect',)",300,False,False,1300,,3,Legend Saber,https://yugipedia.com/wiki/Legend_Saber,,2023-02-01 11:43:28,
Legendary Swordsman - Buster Blader,Monster Card,,,EARTH,Effect Monster,Warrior,"('Continuous Effect',)",2300,False,False,2600,,8,Legendary Swordsman - Buster Blader,https://yugipedia.com/wiki/Legendary_Swordsman_-_Buster_Blader,,2023-01-23 16:53:29,
Lesser Dragon,Monster Card,,,WIND,Normal Monster,Dragon,,1000,False,False,1200,,4,Lesser Dragon (Rush Duel),https://yugipedia.com/wiki/Lesser_Dragon_(Rush_Duel),,2022-09-21 03:16:17,
Level Blast,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Level Blast,https://yugipedia.com/wiki/Level_Blast,,2023-01-29 19:43:23,
Levia-Dragon - Daedalus,Monster Card,,,WATER,Effect Monster,Sea Serpent,"('Effect',)",1500,True,False,2600,,7,Levia-Dragon - Daedalus (Rush Duel),https://yugipedia.com/wiki/Levia-Dragon_-_Daedalus_(Rush_Duel),,2022-09-21 06:16:26,
Light Dolphin,Monster Card,,"('Dolphin',)",WATER,Effect Monster,Sea Serpent,"('Effect',)",1000,False,False,500,,2,Light Dolphin,https://yugipedia.com/wiki/Light_Dolphin,,2022-12-20 10:44:53,
Light Sorcerer,Monster Card,,,LIGHT,Normal Monster,Spellcaster,,0,False,False,1500,,4,Light Sorcerer,https://yugipedia.com/wiki/Light_Sorcerer,,2022-09-21 05:01:10,
Lightning Braver,Monster Card,,,LIGHT,Effect Monster,Thunder,"('Effect',)",700,False,False,1200,,3,Lightning Braver,https://yugipedia.com/wiki/Lightning_Braver,,2022-09-20 11:20:52,
Lightning Voltcondor,Monster Card,,,LIGHT,Effect Monster,Winged Beast,"('Effect',)",1000,False,False,2200,,7,Lightning Voltcondor,https://yugipedia.com/wiki/Lightning_Voltcondor,,2022-09-21 03:34:23,
Lightwave Dragon,Monster Card,,"('High Tech Dragon',)",LIGHT,Effect Monster,Dragon,"('Effect',)",500,False,False,1300,,4,Lightwave Dragon,https://yugipedia.com/wiki/Lightwave_Dragon,,2022-12-18 12:09:34,
Lindmühle,Monster Card,,,WIND,Effect Monster,Wyrm,"('Effect',)",0,False,False,1100,,4,Lindmühle,https://yugipedia.com/wiki/Lindm%C3%BChle,,2022-12-21 09:52:46,
Lindo the Shadow Flower Warrior,Monster Card,,"('Shadow Flower',)",EARTH,Normal Monster,Plant,,1400,False,False,1300,,4,Lindo the Shadow Flower Warrior,https://yugipedia.com/wiki/Lindo_the_Shadow_Flower_Warrior,,2022-09-23 00:36:17,
Little D,Monster Card,,,EARTH,Normal Monster,Dinosaur,,700,False,False,1100,,3,Little D (Rush Duel),https://yugipedia.com/wiki/Little_D_(Rush_Duel),,2022-09-21 03:11:16,
Lizard Soldier,Monster Card,,,WIND,Normal Monster,Dragon,,800,False,False,1100,,3,Lizard Soldier (Rush Duel),https://yugipedia.com/wiki/Lizard_Soldier_(Rush_Duel),,2022-09-21 03:16:07,
Long Shield Gardna,Monster Card,,,EARTH,Effect Monster,Warrior,"('Effect',)",1200,False,False,1500,,5,Long Shield Gardna,https://yugipedia.com/wiki/Long_Shield_Gardna,,2022-10-20 07:36:07,
Lost Cat,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Lost Cat,https://yugipedia.com/wiki/Lost_Cat,,2022-04-05 19:28:19,
Love Angel,Monster Card,,,LIGHT,Effect Monster,Fairy,"('Continuous Effect',)",0,False,False,0,,1,Love Angel,https://yugipedia.com/wiki/Love_Angel,,2022-11-26 13:48:10,
Lua the Skysavior Angel,Monster Card,,"('Skysavior',)",DARK,Effect Monster,Fairy,"('Effect',)",1000,False,False,0,,1,Lua the Skysavior Angel,https://yugipedia.com/wiki/Lua_the_Skysavior_Angel,,2023-01-21 14:07:39,
Lucky Mask of Omens,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Lucky Mask of Omens,https://yugipedia.com/wiki/Lucky_Mask_of_Omens,,2023-01-19 20:32:10,
Lullabind,Spell Card,Normal Spell Card,"('Psychic Musician',)",,,,"('Effect',)",,False,False,,,,Lullabind,https://yugipedia.com/wiki/Lullabind,,2023-01-10 18:59:04,
Luminous Parrot,Monster Card,,,LIGHT,Effect Monster,Winged Beast,"('Effect',)",600,False,False,1200,,4,Luminous Parrot,https://yugipedia.com/wiki/Luminous_Parrot,,2022-12-21 09:52:36,
Luster Dragon,Monster Card,,,WIND,Normal Monster,Dragon,,1600,True,False,1900,,4,Luster Dragon (Rush Duel),https://yugipedia.com/wiki/Luster_Dragon_(Rush_Duel),,2022-10-05 21:23:47,
Mach Mega Falcon,Monster Card,,,WIND,Fusion Monster,Machine,"('Effect',)",1500,False,False,2500,,7,Mach Mega Falcon,https://yugipedia.com/wiki/Mach_Mega_Falcon,,2022-10-31 18:37:28,
Machine Attacker,Monster Card,,,EARTH,Normal Monster,Machine,,1300,False,False,1600,,5,Machine Attacker (Rush Duel),https://yugipedia.com/wiki/Machine_Attacker_(Rush_Duel),,2022-12-21 09:22:21,
Machvio of the Ultimate Aria,Monster Card,,"('Shaman Bandit',)",WIND,Effect Monster,Psychic,"('Continuous Effect',)",1400,False,False,2400,,7,Machvio of the Ultimate Aria,https://yugipedia.com/wiki/Machvio_of_the_Ultimate_Aria,,2023-01-21 13:58:25,
Magic Curtain,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Magic Curtain,https://yugipedia.com/wiki/Magic_Curtain,,2022-10-20 07:08:28,
Magic Cylinder,Trap Card,Normal Trap Card,,,,,"('Effect',)",,True,False,,,,Magic Cylinder (Rush Duel),https://yugipedia.com/wiki/Magic_Cylinder_(Rush_Duel),,2022-12-18 12:09:50,
Magic Fire Guard,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Magic Fire Guard,https://yugipedia.com/wiki/Magic_Fire_Guard,,2022-10-20 07:07:53,
Magic Juggler,Monster Card,,"('Metarion',)",LIGHT,Normal Monster,Spellcaster,,500,False,False,1400,,4,Magic Juggler,https://yugipedia.com/wiki/Magic_Juggler,,2022-12-30 01:27:31,
Magic Mirror Youth,Monster Card,,,LIGHT,Effect Monster,Spellcaster,"('Effect',)",800,False,False,1000,,4,Magic Mirror Youth,https://yugipedia.com/wiki/Magic_Mirror_Youth,,2022-11-26 13:45:22,
Magical Beast Wolfang,Monster Card,,,FIRE,Normal Monster,Spellcaster,,100,False,False,1100,,3,Magical Beast Wolfang,https://yugipedia.com/wiki/Magical_Beast_Wolfang,,2021-12-03 04:00:59,
Magical Ghost,Monster Card,,,DARK,Normal Monster,Zombie,,1400,False,False,1300,,4,Magical Ghost (Rush Duel),https://yugipedia.com/wiki/Magical_Ghost_(Rush_Duel),,2022-10-20 06:56:15,
Magical Sheep Girl Meeeg-chan,Monster Card,,"('Ewekai',)",LIGHT,Normal Monster,Beast,,1600,False,False,2500,,7,Magical Sheep Girl Meeeg-chan,https://yugipedia.com/wiki/Magical_Sheep_Girl_Meeeg-chan,"('Alternate',)",2023-01-31 20:25:58,
Magical Stone Excavation,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Magical Stone Excavation (Rush Duel),https://yugipedia.com/wiki/Magical_Stone_Excavation_(Rush_Duel),,2022-09-25 03:02:34,
Magical Stream,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Magical Stream,https://yugipedia.com/wiki/Magical_Stream,,2022-10-20 07:08:33,
Magician of Dark Sevens,Monster Card,,"('Darkness (Rush Duel series)',)",DARK,Fusion Monster,Spellcaster,"('Continuous Effect',)",2600,False,False,2800,,9,Magician of Dark Sevens,https://yugipedia.com/wiki/Magician_of_Dark_Sevens,,2022-10-30 06:24:11,
Magician's Curtain,Monster Card,,,DARK,Effect Monster,Spellcaster,"('Effect',)",700,False,False,700,,2,Magician's Curtain,https://yugipedia.com/wiki/Magician%27s_Curtain,,2023-02-16 14:24:23,
Magician's Valkyria,Monster Card,,,LIGHT,Effect Monster,Spellcaster,"('Continuous Effect',)",1800,True,False,1600,,4,Magician's Valkyria (Rush Duel),https://yugipedia.com/wiki/Magician%27s_Valkyria_(Rush_Duel),,2022-12-02 08:58:55,
Maginical Miracle,Monster Card,,,LIGHT,Effect Monster,Psychic,"('Effect',)",100,False,False,1000,,4,Maginical Miracle,https://yugipedia.com/wiki/Maginical_Miracle,,2022-09-21 06:06:58,
Magiquartet Shock,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Magiquartet Shock,https://yugipedia.com/wiki/Magiquartet_Shock,,2022-09-25 03:05:45,
Magmassage,Monster Card,,"('Magma',)",FIRE,Effect Monster,Pyro,"('Effect',)",2100,False,False,2100,,7,Magmassage,https://yugipedia.com/wiki/Magmassage,,2022-10-20 07:20:38,
Magmax Mantleveda,Monster Card,,"('Magma',)",FIRE,Effect Monster,Pyro,"('Effect',)",1500,False,False,2400,,8,Magmax Mantleveda,https://yugipedia.com/wiki/Magmax_Mantleveda,,2022-10-20 07:20:31,
Maid's Present,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Maid's Present,https://yugipedia.com/wiki/Maid%27s_Present,,2022-09-21 06:04:13,
"Majinrai, the Striking Storm",Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,"Majinrai, the Striking Storm","https://yugipedia.com/wiki/Majinrai,_the_Striking_Storm",,2022-11-02 17:31:33,
"Makiu, the Magical Mist",Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,"Makiu, the Magical Mist (Rush Duel)","https://yugipedia.com/wiki/Makiu,_the_Magical_Mist_(Rush_Duel)",,2022-09-21 06:03:51,
Malevolent Catastrophe,Trap Card,Normal Trap Card,,,,,"('Effect',)",,True,False,,,,Malevolent Catastrophe (Rush Duel),https://yugipedia.com/wiki/Malevolent_Catastrophe_(Rush_Duel),,2023-02-16 14:29:28,
Malevolent Seller,Monster Card,,,DARK,Effect Monster,Spellcaster,"('Effect',)",300,False,False,700,,2,Malevolent Seller,https://yugipedia.com/wiki/Malevolent_Seller,,2023-02-16 14:30:21,
Mammoth Graveyard,Monster Card,,,EARTH,Normal Monster,Dinosaur,,800,False,False,1200,,3,Mammoth Graveyard (Rush Duel),https://yugipedia.com/wiki/Mammoth_Graveyard_(Rush_Duel),,2022-09-21 03:47:28,
