Name,Password,Card type,Property,Effect type,Archseries,Artwork,TCG status,OCG status,Page name,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
Hamburger Recipe,80811661,Spell Card,Ritual Spell Card,"('Effect',)",,,Unlimited,Unlimited,Hamburger Recipe,2021-11-22 00:15:42,"('Type',)",,,,,,,,,,
Hammer Bounzer,44790889,Monster Card,,"('Continuous Effect', 'Unclassified effect')","('Bounzer',)",,Unlimited,Unlimited,Hammer Bounzer,2021-11-07 20:02:03,,Effect Monster,,EARTH,Warrior,6,2300,2000,,,
Hammer Shark,17201174,Monster Card,,"('Ignition Effect',)","('Shark (series)',)",,Unlimited,Unlimited,Hammer Shark,2021-11-15 00:13:58,,Effect Monster,,WATER,Fish,4,1700,1500,,,
Hammer Shot,26412047,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,Hammer Shot,2022-04-21 16:09:18,,,,,,,,,,,
"Hamon, Lord of Striking Thunder",32491822,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Sacred Beast',)",,Unlimited,Unlimited,"Hamon, Lord of Striking Thunder",2022-12-01 14:59:05,,Effect Monster,,LIGHT,Thunder,10,4000,4000,,,
Han-Shi Kyudo Spirit,53270092,Monster Card,,"('Trigger Effect',)","('Martial Art Spirit',)",,Unlimited,Unlimited,Han-Shi Kyudo Spirit,2022-10-23 20:18:03,,Effect Monster,Spirit monster,WIND,Warrior,5,2400,1000,9,,
Hand Destruction,74519184,Spell Card,Quick-Play Spell Card,"('Effect',)",,,Unlimited,Unlimited,Hand Destruction,2021-01-24 16:47:01,,,,,,,,,,,
Hand of Nephthys,98446407,Monster Card,,"('Ignition Effect',)","('Nephthys',)",,Unlimited,Unlimited,Hand of Nephthys,2022-04-20 13:36:39,,Effect Monster,,WIND,Spellcaster,2,600,600,,,
Hand of the Six Samurai,78792195,Monster Card,,"('Ignition Effect',)","('Six Samurai',)",,Unlimited,Unlimited,Hand of the Six Samurai,2022-04-20 11:47:27,,Effect Monster,,FIRE,Warrior,3,1600,1000,,,
Hand-Holding Genie,94535485,Monster Card,,"('Continuous Effect',)","('Djinn',)",,Unlimited,Unlimited,Hand-Holding Genie,2022-08-13 11:50:54,,Effect Monster,,DARK,Fiend,4,1000,1600,,,
Handcuffs Dragon,97904474,Monster Card,,"('Continuous-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Handcuffs Dragon,2023-01-03 20:25:11,,Effect Monster,,WIND,Dragon,5,1800,1800,,,
Handigallop,97637162,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Handigallop,2020-03-15 01:08:57,,Effect Monster,,EARTH,Beast,1,0,0,,,
Hane-Hane,07089711,Monster Card,,"('Flip effect',)",,,Unlimited,Unlimited,Hane-Hane,2021-11-07 20:04:01,,Effect Monster,Flip monster,EARTH,Beast,2,450,500,,,
Hanewata,20450925,Monster Card,,"('Quick Effect',)",,,Unlimited,Unlimited,Hanewata,2020-03-15 01:09:18,"('Type',)",Effect Monster,Tuner monster,LIGHT,Fairy,1,200,300,,,
Haniwa,84285623,Monster Card,,,,,Unlimited,Unlimited,Haniwa,2022-03-06 00:01:07,,Normal Monster,,EARTH,Rock,2,500,500,,,
Hannibal Necromancer,05640330,Monster Card,,"('Ignition Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Hannibal Necromancer,2021-03-07 05:36:22,,Effect Monster,,DARK,Spellcaster,4,1400,1800,,,
Happy Lover,99030164,Monster Card,,,,,Unlimited,Unlimited,Happy Lover,2023-01-03 19:26:48,,Normal Monster,,LIGHT,Fairy,2,800,500,,,
Hard Armor,20060230,Monster Card,,,,,Unlimited,Unlimited,Hard Armor,2023-01-03 17:37:45,,Normal Monster,,EARTH,Warrior,3,300,1200,,,
Hard-sellin' Goblin,68875140,Trap Card,Continuous Trap Card,"('Trigger Effect',)","('Goblin',)",,Unlimited,Unlimited,Hard-sellin' Goblin,2020-03-20 13:22:20,,,,,,,,,,,
Hard-sellin' Zombie,94374859,Trap Card,Continuous Trap Card,"('Trigger Effect',)","('Zombie counterpart',)",,Unlimited,Unlimited,Hard-sellin' Zombie,2021-04-16 15:14:48,,,,,,,,,,,
Hardened Armed Dragon,68473226,Monster Card,,"('Condition', 'Unclassified effect')",,,Unlimited,Unlimited,Hardened Armed Dragon,2023-01-03 00:46:35,,Effect Monster,,EARTH,Dragon,4,1500,800,,,
Harmonic Oscillation,31531170,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,Harmonic Oscillation,2021-11-22 00:16:52,,,,,,,,,,,
Harmonic Waves,58441120,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,Harmonic Waves,2023-01-03 20:31:30,,,,,,,,,,,
Harmonizing Magician,73941492,Monster Card,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Magician',)",,Unlimited,Unlimited,Harmonizing Magician,2022-04-20 12:41:15,,Effect Monster,Tuner monster,DARK,Spellcaster,4,0,0,8,,
Harpie Channeler,90238142,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Unclassified effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Channeler,2022-09-19 19:32:17,,Effect Monster,,WIND,Winged Beast,4,1400,1300,,,
Harpie Conductor,85696777,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect', 'Unclassified effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Conductor,2022-04-20 11:51:22,,Link Monster,,WIND,Winged Beast,,1900,,,2,"('↙', '↘')"
Harpie Dancer,68815132,Monster Card,,"('Condition', 'Ignition Effect', 'Unclassified effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Dancer,2022-09-04 01:07:56,,Effect Monster,,WIND,Winged Beast,4,1200,1000,,,
Harpie Girl,34100324,Monster Card,,,"('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Girl,2022-04-20 14:09:43,"('Name',)",Normal Monster,,WIND,Winged Beast,2,500,500,,,
Harpie Harpist,56585883,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Harpie',)",,Unlimited,Unlimited,Harpie Harpist,2022-09-11 12:21:46,,Effect Monster,,WIND,Winged Beast,4,1700,600,,,
Harpie Lady,76812113,Monster Card,,,"('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Lady,2023-01-05 14:11:22,,Normal Monster,,WIND,Winged Beast,4,1300,1400,,,
Harpie Lady 1,91932350,Monster Card,,"('Condition', 'Continuous Effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Lady 1,2022-04-20 13:43:03,,Effect Monster,,WIND,Winged Beast,4,1300,1400,,,
Harpie Lady 2,27927359,Monster Card,,"('Condition', 'Continuous Effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Lady 2,2022-04-20 13:30:17,,Effect Monster,,WIND,Winged Beast,4,1300,1400,,,
Harpie Lady 3,54415063,Monster Card,,"('Condition', 'Unclassified effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Lady 3,2022-04-20 13:35:51,,Effect Monster,,WIND,Winged Beast,4,1300,1400,,,
Harpie Lady Elegance,65664792,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Trigger Effect')","('Harpie',)",,Unlimited,Unlimited,Harpie Lady Elegance,2022-09-19 19:31:31,,,,,,,,,,,
Harpie Lady Phoenix Formation,86308219,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')","('Harpie',)",,Unlimited,Unlimited,Harpie Lady Phoenix Formation,2022-11-07 13:12:30,,,,,,,,,,,
Harpie Lady Sisters,12206212,Monster Card,,"('Summoning condition',)","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Lady Sisters,2022-08-29 04:09:07,"('Type',)",Effect Monster,,WIND,Winged Beast,6,1950,2100,,,
Harpie Oracle,66386380,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')","('Harpie',)",,Unlimited,Unlimited,Harpie Oracle,2022-09-19 19:27:27,,Effect Monster,,WIND,Winged Beast,4,1300,1400,,,
Harpie Perfumer,39392286,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie Perfumer,2022-09-19 19:27:02,,Effect Monster,,WIND,Winged Beast,4,1400,1300,,,
Harpie Queen,75064463,Monster Card,,"('Ignition Effect', 'Unclassified effect')","('Field Searcher', 'Harpie')","('Edited',)",Unlimited,Unlimited,Harpie Queen,2022-09-12 04:08:37,,Effect Monster,,WIND,Winged Beast,4,1900,1200,,,
Harpie's Feather Duster,18144506,Spell Card,Normal Spell Card,"('Effect',)","('Harpie',)","('Alternate', 'Edited')",Limited,Limited,Harpie's Feather Duster,2022-12-01 03:30:56,"('Name', 'Type')",,,,,,,,,,
Harpie's Feather Rest,39275698,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpie's Feather Rest,2022-11-07 13:11:16,,,,,,,,,,,
Harpie's Feather Storm,87639778,Trap Card,Normal Trap Card,"('Activation condition', 'Condition', 'Effect', 'Trigger Effect')","('Harpie',)",,Unlimited,Unlimited,Harpie's Feather Storm,2022-09-19 19:26:38,,,,,,,,,,,
Harpie's Pet Baby Dragon,06924874,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Harpie',)",,Unlimited,Unlimited,Harpie's Pet Baby Dragon,2022-11-07 13:17:18,,Effect Monster,,WIND,Dragon,4,1200,600,,,
Harpie's Pet Dragon,52040216,Monster Card,,"('Continuous Effect',)","('Harpie',)",,Unlimited,Unlimited,Harpie's Pet Dragon,2021-07-17 05:01:00,"('Name',)",Effect Monster,,WIND,Dragon,7,2000,2500,,,
Harpie's Pet Dragon - Fearsome Fire Blast,04991081,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Harpie', 'Signature move')",,Unlimited,Unlimited,Harpie's Pet Dragon - Fearsome Fire Blast,2022-12-12 23:52:08,,Effect Monster,,WIND,Dragon,7,2000,2500,,,
Harpie's Pet Phantasmal Dragon,85909450,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Harpie',)",,Unlimited,Unlimited,Harpie's Pet Phantasmal Dragon,2022-08-13 11:52:26,,Xyz Monster,,WIND,Dragon,4,2000,2500,,,
Harpies' Hunting Ground,75782277,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Trigger Effect')","('Harpie',)","('Edited',)",Unlimited,Unlimited,Harpies' Hunting Ground,2022-09-12 13:32:46,"('Name',)",,,,,,,,,,
"Harr, Generaider Boss of Storms",68199168,Monster Card,,"('Condition', 'Quick Effect', 'Unclassified effect')","('Generaider',)",,Unlimited,Unlimited,"Harr, Generaider Boss of Storms",2022-05-14 16:43:43,,Effect Monster,,DARK,Spellcaster,9,3000,3000,,,
Harvest Angel of Wisdom,85399281,Monster Card,,"('Trigger Effect',)","('Counter Fairy',)",,Unlimited,Unlimited,Harvest Angel of Wisdom,2020-03-15 01:15:29,,Effect Monster,,LIGHT,Fairy,4,1800,1000,,,
Hate Buster,93895605,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,Hate Buster,2022-03-22 03:22:48,,,,,,,,,,,
Haunted Shrine,39033131,Trap Card,Normal Trap Card,"('Activation condition', 'Condition', 'Effect', 'Quick-like Effect')",,,Unlimited,Unlimited,Haunted Shrine,2022-05-24 16:02:16,,,,,,,,,,,
Haunted Zombies,32335697,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Quick-like Effect')",,,Unlimited,Unlimited,Haunted Zombies,2022-05-19 23:21:27,,,,,,,,,,,
Hayabusa Knight,21015833,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Hayabusa Knight,2022-04-05 14:13:41,"('Type',)",Effect Monster,,EARTH,Warrior,3,1000,700,,,
Hayate the Earth Star,07443908,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Star (series)',)",,Unlimited,Unlimited,Hayate the Earth Star,2020-03-15 01:15:51,,Effect Monster,,EARTH,Warrior,5,2100,0,,,
Hazy Flame Basiltrice,23776077,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Basiltrice,2021-02-03 21:20:39,,Xyz Monster,,FIRE,Pyro,6,2500,1800,,,
Hazy Flame Cerbereus,38525760,Monster Card,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Cerbereus,2021-11-22 00:20:03,,Effect Monster,,FIRE,Beast,6,2000,200,,,
Hazy Flame Griffin,74010769,Monster Card,,"('Continuous Effect', 'Unclassified effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Griffin,2021-11-22 00:20:12,,Effect Monster,,FIRE,Winged Beast,6,200,2100,,,
Hazy Flame Hydra,08696773,Monster Card,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Hydra,2021-11-22 00:20:24,,Effect Monster,,FIRE,Dinosaur,6,2300,200,,,
Hazy Flame Hyppogrif,31303283,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Hyppogrif,2021-11-22 00:20:34,,Effect Monster,,FIRE,Pyro,6,2100,200,,,
Hazy Flame Mantikor,96051150,Monster Card,,"('Continuous Effect', 'Quick Effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Mantikor,2021-11-22 00:20:43,,Effect Monster,,FIRE,Winged Beast,6,2200,300,,,
Hazy Flame Peryton,37803172,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Peryton,2021-11-22 00:20:52,,Effect Monster,,FIRE,Pyro,6,1600,1700,,,
Hazy Flame Sphynx,01409474,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Hazy', 'Hazy Flame')",,Unlimited,Unlimited,Hazy Flame Sphynx,2022-04-20 12:28:04,,Effect Monster,,FIRE,Beast-Warrior,6,1900,1900,,,
Hazy Glory,43708041,Trap Card,Continuous Trap Card,"('Continuous-like Effect', 'Quick-like Effect')","('Hazy',)",,Unlimited,Unlimited,Hazy Glory,2021-11-22 00:21:06,,,,,,,,,,,
Hazy Pillar,83108603,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Ignition-like Effect')","('Hazy',)",,Unlimited,Unlimited,Hazy Pillar,2021-11-22 00:21:13,,,,,,,,,,,
Head Judging,38143903,Trap Card,Continuous Trap Card,"('Condition', 'Quick-like Effect')",,,Unlimited,Unlimited,Head Judging,2022-04-20 12:28:32,,,,,,,,,,,
Headless Knight,05434080,Monster Card,,,,,Unlimited,Unlimited,Headless Knight,2021-08-21 22:54:07,"('Type',)",Normal Monster,,EARTH,Fiend,4,1450,1700,,,
Healing Wave Generator,31281980,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,Healing Wave Generator,2022-04-21 16:10:12,,Effect Monster,,LIGHT,Machine,4,800,1600,,,
Heart of Clear Water,64801562,Spell Card,Equip Spell Card,"('Continuous-like Effect',)",,,Unlimited,Unlimited,Heart of Clear Water,2023-01-03 19:08:31,"('Type',)",,,,,,,,,,
Heart of the Underdog,35762283,Spell Card,Continuous Spell Card,"('Trigger Effect',)",,,Unlimited,Unlimited,Heart of the Underdog,2022-12-09 16:29:24,,,,,,,,,,,
Heartfelt Appeal,32065885,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,Heartfelt Appeal,2021-11-22 00:21:45,,,,,,,,,,,
Heartless Drop Off,47439573,Trap Card,Counter Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,Heartless Drop Off,2022-01-11 08:59:23,,,,,,,,,,,
Heat Wave,45141013,Spell Card,Normal Spell Card,"('Activation condition', 'Effect')",,"('Edited',)",Unlimited,Unlimited,Heat Wave,2022-11-11 19:01:13,,,,,,,,,,,
Heavenly Dragon Circle,51684157,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,Heavenly Dragon Circle,2022-05-05 14:05:01,,,,,,,,,,,
Heavenly Gate of the Mikanko,17255673,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Trigger Effect')","('Mikanko',)",,Not yet released,Unlimited,Heavenly Gate of the Mikanko,2023-01-09 18:21:50,,,,,,,,,,,
Heavenly Zephyr - Miradora,17063599,Monster Card,,"('Condition', 'Trigger Effect')",,,Unlimited,Unlimited,Heavenly Zephyr - Miradora,2022-09-17 13:33:55,,Effect Monster,,WIND,Dragon,7,2000,2600,,,
Heavy Armored Train Ironwolf,49121795,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Train',)",,Unlimited,Unlimited,Heavy Armored Train Ironwolf,2022-11-05 13:55:14,,Xyz Monster,,EARTH,Machine,4,2200,2200,,,
Heavy Beetrooper Mighty Neptune,14357527,Monster Card,,"('Condition', 'Summoning condition', 'Trigger Effect')","('Beetrooper',)",,Unlimited,Unlimited,Heavy Beetrooper Mighty Neptune,2023-01-01 19:09:12,,Effect Monster,,EARTH,Insect,8,3000,3000,,,
Heavy Forward,34721681,Spell Card,Continuous Spell Card,"('Condition', 'Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,Heavy Forward,2022-12-21 01:51:35,,,,,,,,,,,
Heavy Freight Train Derricrane,13647631,Monster Card,,"('Condition', 'Trigger Effect')","('Train',)",,Unlimited,Unlimited,Heavy Freight Train Derricrane,2022-10-31 12:32:04,,Effect Monster,,EARTH,Machine,10,2800,2000,,,
Heavy Interlock,20071842,Spell Card,Ritual Spell Card,"('Effect',)",,,Unlimited,Unlimited,Heavy Interlock,2021-11-11 16:05:06,,,,,,,,,,,
Heavy Knight of the Flame,34761062,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,,Unlimited,Unlimited,Heavy Knight of the Flame,2021-11-22 00:22:10,,Effect Monster,Gemini monster,FIRE,Zombie,4,1800,200,,,
Heavy Mech Support Armor,39890958,Monster Card,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Heavy Mech Support Armor,2022-08-14 10:34:29,,Effect Monster,Union monster,LIGHT,Machine,3,500,500,,,
Heavy Mech Support Platform,23265594,Monster Card,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')",,,Unlimited,Unlimited,Heavy Mech Support Platform,2022-07-24 09:37:50,"('Type',)",Effect Monster,Union monster,DARK,Machine,3,500,500,,,
Heavy Metal Raiders,03113667,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Heavy Metal Raiders,2021-04-10 08:45:44,,,,,,,,,,,
Heavy Slump,52417194,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,"('Edited',)",Unlimited,Unlimited,Heavy Slump,2021-03-07 05:37:36,,,,,,,,,,,
Heavy Storm,19613556,Spell Card,Normal Spell Card,"('Effect',)",,,Forbidden,Forbidden,Heavy Storm,2022-05-06 07:09:18,"('Type',)",,,,,,,,,,
Heavy Storm Duster,23924608,Trap Card,Normal Trap Card,"('Condition', 'Effect')",,,Unlimited,Unlimited,Heavy Storm Duster,2021-06-23 03:01:59,,,,,,,,,,,
Heavymetalfoes Amalgam,61728808,Monster Card,,"('Condition', 'Trigger Effect')","('Metalfoes',)",,Unlimited,Unlimited,Heavymetalfoes Amalgam,2022-09-14 13:48:05,,Link Monster,,FIRE,Psychic,,2000,,,2,"('←', '→')"
Heavymetalfoes Electrumite,24094258,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Metalfoes',)",,Forbidden,Limited,Heavymetalfoes Electrumite,2022-12-18 11:26:12,,Link Monster,,FIRE,Psychic,,1800,,,2,"('↙', '↘')"
"Hebo, Lord of the River",90365482,Monster Card,,"('Summoning condition', 'Trigger Effect')",,,Unlimited,Unlimited,"Hebo, Lord of the River",2020-12-20 18:38:36,,Effect Monster,Spirit monster,WATER,Aqua,4,1800,600,,,
Hecatrice,74968065,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,Hecatrice,2023-01-03 18:39:26,,Effect Monster,,LIGHT,Fairy,4,1500,1100,,,
Hedge Guard,59042331,Monster Card,,"('Quick Effect',)",,,Unlimited,Unlimited,Hedge Guard,2021-11-22 00:22:52,,Effect Monster,,EARTH,Plant,3,0,2100,,,
"Hela, Generaider Boss of Doom",75660578,Monster Card,,"('Condition', 'Quick Effect', 'Unclassified effect')","('Generaider',)",,Unlimited,Unlimited,"Hela, Generaider Boss of Doom",2022-05-05 14:57:05,,Effect Monster,,DARK,Zombie,9,800,2800,,,
Helios - The Primordial Sun,54493213,Monster Card,,"('Continuous Effect',)","('Helios',)",,Unlimited,Unlimited,Helios - The Primordial Sun,2022-07-01 04:16:07,,Effect Monster,,LIGHT,Pyro,4,?,?,,,
Helios Duo Megistus,80887952,Monster Card,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')","('Helios',)",,Unlimited,Unlimited,Helios Duo Megistus,2022-04-20 14:36:46,"('Name',)",Effect Monster,,LIGHT,Pyro,6,?,?,,,
Helios Trice Megistus,17286057,Monster Card,,"('Continuous Effect', 'Trigger Effect', 'Unclassified effect')","('Helios',)",,Unlimited,Unlimited,Helios Trice Megistus,2022-11-02 02:00:18,,Effect Monster,,LIGHT,Pyro,8,?,?,,,
Heliosphere Dragon,51043053,Monster Card,,"('Continuous Effect', 'Ignition Effect')",,,Unlimited,Unlimited,Heliosphere Dragon,2020-03-15 01:21:29,,Effect Monster,,LIGHT,Dragon,4,0,1900,,,
Hellebore the Rikka Fairy,60880471,Monster Card,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Rikka',)",,Unlimited,Unlimited,Hellebore the Rikka Fairy,2022-04-20 11:18:02,,Effect Monster,,WATER,Plant,8,2600,1200,,,
"Helmer, Helmsman Fur Hire",67466547,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Fur Hire',)",,Unlimited,Unlimited,"Helmer, Helmsman Fur Hire",2023-01-09 19:02:50,,Effect Monster,,WATER,Aqua,3,0,2000,,,
Helping Robo for Combat,47025270,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Helping Robo for Combat,2023-01-03 16:54:52,"('Name',)",Effect Monster,,LIGHT,Machine,4,1600,0,,,
Helpoemer,76052811,Monster Card,,"('Condition', 'Summoning condition', 'Trigger Effect')",,,Unlimited,Unlimited,Helpoemer,2022-12-31 14:39:23,,Effect Monster,,DARK,Fiend,5,2000,1400,,,
Helshaddoll Hollow,92079625,Monster Card,,"('Condition', 'Flip effect', 'Trigger Effect')","('Shaddoll',)",,Unlimited,Unlimited,Helshaddoll Hollow,2022-09-09 14:19:12,,Effect Monster,Flip monster,FIRE,Fiend,9,2900,2900,,,
Herald of Creation,66337215,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,Herald of Creation,2023-01-03 00:49:23,,Effect Monster,,LIGHT,Spellcaster,4,1800,600,,,
Herald of Green Light,21074344,Monster Card,,"('Quick Effect',)","('Herald',)",,Unlimited,Unlimited,Herald of Green Light,2020-03-15 01:22:41,,Effect Monster,,LIGHT,Fairy,2,300,500,,,
Herald of Mirage Lights,46935289,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect')","('Herald',)",,Unlimited,Unlimited,Herald of Mirage Lights,2020-03-20 13:41:18,,Link Monster,,LIGHT,Fairy,,600,,,2,"('↙', '↘')"
Herald of Orange Light,17266660,Monster Card,,"('Quick Effect',)","('Herald',)",,Limited,Limited,Herald of Orange Light,2022-10-07 22:01:18,"('Name', 'Type')",Effect Monster,Tuner monster,LIGHT,Fairy,2,300,500,,,
Herald of Perfection,44665365,Monster Card,,"('Quick Effect', 'Summoning condition')","('Herald',)",,Unlimited,Unlimited,Herald of Perfection,2023-01-03 18:45:23,"('Type',)",Ritual Monster,,LIGHT,Fairy,6,1800,2800,,,
Herald of Pure Light,01249315,Monster Card,,"('Condition', 'Ignition Effect')","('Herald',)",,Unlimited,Unlimited,Herald of Pure Light,2021-12-16 01:52:46,,Xyz Monster,,LIGHT,Fairy,2,600,1000,,,
Herald of Purple Light,94689635,Monster Card,,"('Quick Effect',)","('Herald',)",,Unlimited,Unlimited,Herald of Purple Light,2021-10-18 03:11:28,,Effect Monster,,LIGHT,Fairy,2,300,500,,,
Herald of Ultimateness,48546368,Monster Card,,"('Quick Effect', 'Summoning condition')","('Herald',)",,Unlimited,Unlimited,Herald of Ultimateness,2020-12-03 14:28:23,,Ritual Monster,,LIGHT,Fairy,12,2000,3000,,,
Herald of the Abyss,94016752,Spell Card,Normal Spell Card,"('Condition', 'Cost', 'Effect', 'Lingering effect')",,,Unlimited,Unlimited,Herald of the Abyss,2022-09-23 03:11:52,,,,,,,,,,,
Herald of the Arc Light,79606837,Monster Card,,"('Continuous Effect', 'Quick Effect', 'Trigger Effect')","('Herald',)",,Unlimited,Unlimited,Herald of the Arc Light,2022-12-14 11:42:00,,Synchro Monster,,LIGHT,Fairy,4,600,1000,,,
Heraldic Beast Aberconway,60316373,Monster Card,,"('Ignition Effect',)","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Aberconway,2021-11-22 00:25:05,,Effect Monster,,WIND,Dragon,4,1800,900,,,
Heraldic Beast Amphisbaena,87255382,Monster Card,,"('Ignition Effect',)","('Heraldic Beast',)",,Unlimited,Unlimited,Heraldic Beast Amphisbaena,2021-11-22 00:25:14,,Effect Monster,,WIND,Dragon,4,1700,1100,,,
Heraldic Beast Basilisk,56921677,Monster Card,,"('Trigger Effect',)","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Basilisk,2021-11-22 00:25:21,,Effect Monster,,EARTH,Beast,4,1000,1400,,,
Heraldic Beast Berners Falcon,96704018,Monster Card,,"('Trigger Effect',)","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Berners Falcon,2021-11-22 00:25:30,,Effect Monster,,WIND,Winged Beast,4,1000,1600,,,
Heraldic Beast Eale,82315772,Monster Card,,"('Unclassified effect',)","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Eale,2021-11-22 00:25:40,,Effect Monster,,EARTH,Beast,4,1000,1800,,,
Heraldic Beast Leo,82293134,Monster Card,,"('Condition', 'Trigger Effect')","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Leo,2021-11-22 00:25:48,,Effect Monster,,EARTH,Beast,4,2000,1000,,,
Heraldic Beast Twin-Headed Eagle,19310321,Monster Card,,"('Ignition Effect',)","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Twin-Headed Eagle,2021-11-22 00:25:56,,Effect Monster,,WIND,Winged Beast,4,1200,1400,,,
Heraldic Beast Unicorn,45705025,Monster Card,,"('Condition', 'Ignition Effect')","('Heraldic', 'Heraldic Beast')",,Unlimited,Unlimited,Heraldic Beast Unicorn,2021-11-22 00:26:03,,Effect Monster,,LIGHT,Beast,4,1100,1600,,,
Heraldry Change,17536995,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')","('Change', 'Heraldry')",,Unlimited,Unlimited,Heraldry Change,2021-11-22 00:26:11,,,,,,,,,,,
