Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows,Effect type,Archseries,Artwork,Errata,TCG status,OCG status,Modification date
Vylon Stella,38679204,Monster Card,,Effect Monster,Tuner monster,LIGHT,Fairy,3,1400,200,,,,"('Trigger Effect',)","('Vylon',)",,,Unlimited,Unlimited,Tue Mar 17 16:19:31 2020
Vylon Stigma,10712320,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1600,1000,,,,"('Quick Effect',)","('Vylon',)",,,Unlimited,Unlimited,Sun Nov  7 14:35:12 2021
Vylon Tesseract,84313685,Monster Card,,Effect Monster,Union monster,LIGHT,Machine,4,800,600,,,,"('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Vylon',)",,,Unlimited,Unlimited,Sun Jul 24 09:40:19 2022
Vylon Tetra,01281505,Monster Card,,Effect Monster,Tuner monster,LIGHT,Machine,2,900,900,,,,"('Continuous-like Effect', 'Trigger Effect')","('Vylon',)",,,Unlimited,Unlimited,Fri Feb 25 18:13:33 2022
Vylon Vanguard,87836938,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1400,1000,,,,"('Trigger Effect',)","('Vylon',)",,,Unlimited,Unlimited,Tue Mar 17 16:20:26 2020
W-Wing Catapult,96300057,Monster Card,,Effect Monster,Union monster,LIGHT,Machine,4,1300,1500,,,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')","('A-to-Z',)",,"('Type',)",Unlimited,Unlimited,Sun Jul 24 09:36:32 2022
Wake Up Your Elemental HERO,32828466,Monster Card,,Fusion Monster,,LIGHT,Warrior,10,2500,2100,,,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Elemental HERO', 'HERO')",,,,Unlimited,Sat Jun  4 11:36:54 2022
Watapon,87774234,Monster Card,,Effect Monster,,LIGHT,Fairy,1,200,300,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Tue Mar 17 16:25:09 2020
Wattaildragon,87151205,Monster Card,,Normal Monster,,LIGHT,Dragon,6,2500,1000,,,,,"('Watt',)",,,Unlimited,Unlimited,Wed Jan 13 02:13:14 2021
Wattberyx,05554990,Monster Card,,Effect Monster,Tuner monster,LIGHT,Thunder,3,300,0,,,,"('Trigger Effect',)","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:31:22 2020
Wattbetta,18407024,Monster Card,,Effect Monster,Tuner monster,LIGHT,Thunder,2,100,0,,,,"('Trigger Effect',)","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:31:37 2020
Wattchimera,02772236,Monster Card,,Synchro Monster,,LIGHT,Thunder,6,1400,1200,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Fri Apr 16 12:31:04 2021
Wattcobra,88205593,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1000,500,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:32:13 2020
Wattdragonfly,97885363,Monster Card,,Effect Monster,,LIGHT,Thunder,2,900,100,,,,"('Trigger Effect',)","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:32:26 2020
Wattfox,46897277,Monster Card,,Effect Monster,Tuner monster,LIGHT,Thunder,2,800,100,,,,"('Trigger Effect',)","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:32:41 2020
Wattgiraffe,00402568,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1200,100,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Thu Mar 19 17:47:36 2020
Watthopper,61380658,Monster Card,,Effect Monster,,LIGHT,Thunder,1,0,0,,,,"('Continuous Effect',)","('Watt',)",,,Unlimited,Unlimited,Sat Aug 13 12:18:37 2022
Watthydra,29765339,Monster Card,,Synchro Monster,,LIGHT,Thunder,7,1500,1500,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Sun Nov  7 14:00:50 2021
Wattkid,27324313,Monster Card,,Normal Monster,,LIGHT,Thunder,3,1000,500,,,,,"('Watt',)",,"('Name',)",Unlimited,Unlimited,Sun Nov  7 14:02:04 2021
Wattkinetic Puppeteer,88392300,Monster Card,,Effect Monster,,LIGHT,Psychic,4,1800,0,,,,"('Quick Effect',)","('Watt',)",,,Unlimited,Unlimited,Wed Nov 17 15:03:47 2021
Wattkiwi,24996659,Monster Card,,Effect Monster,Tuner monster,LIGHT,Thunder,3,600,100,,,,"('Continuous Effect',)","('Watt',)",,,Unlimited,Unlimited,Tue Nov 17 20:01:42 2020
Wattlemur,45801022,Monster Card,,Effect Monster,,LIGHT,Thunder,2,800,100,,,,"('Trigger Effect',)","('Watt',)",,,Unlimited,Unlimited,Wed Oct 28 23:37:54 2020
Wattmole,32548609,Monster Card,,Effect Monster,,LIGHT,Thunder,3,0,100,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:35:39 2020
Wattpheasant,81896771,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1000,800,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:35:59 2020
Wattsquirrel,23274061,Monster Card,,Effect Monster,,LIGHT,Thunder,3,700,100,,,,"('Continuous Effect', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Tue Nov 17 20:00:55 2020
Wattsychic Fighter,81028112,Monster Card,,Effect Monster,,LIGHT,Psychic,3,1500,300,,,,"('Condition', 'Trigger Effect')","('Watt',)",,,Unlimited,Unlimited,Fri Apr 16 15:16:40 2021
Wattwoodpecker,12296376,Monster Card,,Effect Monster,,LIGHT,Thunder,3,1000,100,,,,"('Continuous Effect', 'Unclassified effect')","('Watt',)",,,Unlimited,Unlimited,Tue Mar 17 16:36:50 2020
Weather Control,37243151,Monster Card,,Normal Monster,,LIGHT,Fairy,2,600,400,,,,,,,,,Unlimited,Mon Mar 21 02:32:56 2022
The Weather Painter Rainbow,54178659,Monster Card,,Link Monster,,LIGHT,Fairy,,2400,,,3,"('↓', '↙', '↘')","('Continuous Effect', 'Quick Effect', 'Trigger Effect')","('The Weather',)",,,Unlimited,Unlimited,Wed Apr 20 16:09:09 2022
The Weather Painter Thunder,91299846,Monster Card,,Effect Monster,,LIGHT,Fairy,3,1700,0,,,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('The Weather',)",,,Unlimited,Unlimited,Wed Apr 20 14:56:40 2022
White Dragon Ninja,99212922,Monster Card,,Effect Monster,,LIGHT,Dragon,7,2700,1200,,,,"('Continuous Effect', 'Summoning condition')","('Dragon Ninja', 'Ninja')",,,Unlimited,Unlimited,Tue Apr 19 23:09:45 2022
White Dragon Wyverburster,99234526,Monster Card,,Effect Monster,,LIGHT,Dragon,4,1700,1800,,,,"('Condition', 'Summoning condition', 'Trigger Effect')",,,"('Type',)",Limited,Unlimited,Wed Jun 29 15:58:13 2022
White Duston,03557275,Monster Card,,Normal Monster,,LIGHT,Fiend,1,0,1000,,,,,"('Duston',)",,,Unlimited,Unlimited,Tue Mar 17 16:44:35 2020
White Knight of Dogmatika,40352445,Monster Card,,Ritual Monster,,LIGHT,Spellcaster,8,500,2500,,,,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Dogmatika',)",,,Unlimited,Unlimited,Thu Sep  1 22:44:19 2022
White Magical Hat,15150365,Monster Card,,Effect Monster,,LIGHT,Spellcaster,3,1000,700,,,,"('Trigger Effect',)",,,,Unlimited,Unlimited,Sun Nov  7 14:04:31 2021
White Magician Pikeru,81383947,Monster Card,,Effect Monster,,LIGHT,Spellcaster,2,1200,0,,,,"('Trigger Effect',)","('Prophecy',)",,"('Name',)",Unlimited,Unlimited,Tue Apr 19 23:09:44 2022
White Night Queen,20193924,Monster Card,,Effect Monster,,LIGHT,Fairy,7,2100,800,,,,"('Ignition Effect', 'Summoning condition')","('White Night',)",,,Unlimited,Unlimited,Tue Apr 19 23:09:41 2022
White Ninja,01571945,Monster Card,,Effect Monster,Flip monster,LIGHT,Warrior,4,1500,800,,,,"('Flip effect',)","('Ninja',)",,,Unlimited,Unlimited,Tue Apr 19 23:09:39 2022
White Potan,98024118,Monster Card,,Effect Monster,,LIGHT,Fairy,1,100,200,,,,"('Continuous Effect', 'Trigger Effect')","('Potan',)",,"('Name',)",Unlimited,Unlimited,Fri Feb  5 14:57:48 2021
White Relic of Dogmatika,48654323,Monster Card,,Ritual Monster,,LIGHT,Spellcaster,4,500,2500,,,,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Dogmatika',)",,,Unlimited,Unlimited,Fri Feb 11 11:46:07 2022
The White Stone of Ancients,71039903,Monster Card,,Effect Monster,Tuner monster,LIGHT,Dragon,1,600,500,,,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Sat Mar 26 13:20:58 2022
The White Stone of Legend,79814787,Monster Card,,Effect Monster,Tuner monster,LIGHT,Dragon,1,300,250,,,,"('Trigger Effect',)",,,"('Type',)",Unlimited,Unlimited,Sat Mar 26 13:15:26 2022
Wightprincess,90243945,Monster Card,,Effect Monster,,LIGHT,Zombie,3,1600,0,,,,"('Quick Effect', 'Trigger Effect', 'Unclassified effect')","('Wight',)",,,Unlimited,Unlimited,Tue Apr 19 23:09:35 2022
Wind-Up Knight,80538728,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1800,1200,,,,"('Trigger Effect',)","('Wind-Up',)",,,Unlimited,Unlimited,Tue Mar 17 16:59:01 2020
Wind-Up Zenmaintenance,01735088,Monster Card,,Link Monster,,LIGHT,Machine,,1800,,,2,"('↙', '↘')","('Condition', 'Ignition Effect', 'Trigger Effect')","('Wind-Up',)",,,Unlimited,Unlimited,Tue Mar 17 17:02:13 2020
Wing Egg Elf,98582704,Monster Card,,Normal Monster,,LIGHT,Fairy,3,500,1300,,,,,,,,,Unlimited,Sun Oct 31 14:37:52 2021
Winged Egg of New Life,42418084,Monster Card,,Normal Monster,,LIGHT,Fairy,5,1400,1700,,,,,,,,,Unlimited,Sun Nov  7 14:06:49 2021
Winged Kuriboh,57116033,Monster Card,,Effect Monster,,LIGHT,Fairy,1,300,200,,,,"('Trigger Effect',)","('Kuriboh (archetype)', 'Winged Kuriboh (archetype)')","('Alternate',)","('Type',)",Unlimited,Unlimited,Thu Jul 21 16:42:31 2022
Winged Kuriboh LV10,98585345,Monster Card,,Effect Monster,,LIGHT,Fairy,10,300,200,,,,"('Quick Effect', 'Summoning condition')","('Kuriboh (archetype)', 'LV', 'Winged Kuriboh (archetype)')",,,Unlimited,Unlimited,Sun Mar  7 07:36:03 2021
Winged Kuriboh LV9,33776734,Monster Card,,Effect Monster,,LIGHT,Fairy,9,?,?,,,,"('Continuous Effect', 'Quick Effect', 'Unclassified effect')","('Kuriboh (archetype)', 'LV', 'Winged Kuriboh (archetype)')",,,Unlimited,Unlimited,Tue Mar 17 17:11:28 2020
Wingweaver,31447217,Monster Card,,Normal Monster,,LIGHT,Fairy,7,2750,2400,,,,,,"('Alternate', 'Edited')",,Unlimited,Unlimited,Tue Apr 19 23:09:12 2022
Wisdom-Eye Magician,72714461,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1500,1500,5,,,"('Ignition Effect', 'Ignition-like Effect')","('Magician',)",,,Unlimited,Unlimited,Sat Jun 11 15:05:52 2022
Wish Dragon,,Monster Card,,Effect Monster,,LIGHT,Dragon,2,700,100,,,,"('Condition', 'Ignition Effect')",,,,,Not yet released,Tue May 17 14:15:04 2022
Witchcrafter Edel,58139997,Monster Card,,Effect Monster,,LIGHT,Spellcaster,5,2000,2300,,,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Witchcrafter',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:52 2022
Witchcrafter Golem Aruru,71074418,Monster Card,,Effect Monster,,LIGHT,Spellcaster,8,2800,0,,,,"('Condition', 'Quick Effect', 'Trigger Effect')","('Witchcrafter',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:48 2022
Witchcrafter Madame Verre,21522601,Monster Card,,Effect Monster,,LIGHT,Spellcaster,8,1000,2800,,,,"('Condition', 'Quick Effect')","('Witchcrafter',)",,,Unlimited,Unlimited,Tue Aug  9 03:11:27 2022
World of Prophecy,29146185,Monster Card,,Effect Monster,,LIGHT,Spellcaster,9,2900,2400,,,,"('Condition', 'Trigger Effect')","('Prophecy',)",,,Unlimited,Unlimited,Tue Mar 17 17:28:16 2020
Worm Apocalypse,88650530,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,1,300,200,,,,"('Flip effect',)","('Worm',)",,,Unlimited,Unlimited,Wed Oct  7 21:39:30 2020
Worm Barses,15658249,Monster Card,,Effect Monster,,LIGHT,Reptile,3,1400,1500,,,,"('Trigger Effect',)","('Worm',)",,,Unlimited,Unlimited,Thu Nov 12 19:05:49 2020
Worm Cartaros,51043243,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,4,1200,500,,,,"('Flip effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:29:24 2020
Worm Dimikles,88438982,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,4,1700,1400,,,,"('Flip effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:29:45 2020
Worm Erokin,14936691,Monster Card,,Effect Monster,,LIGHT,Reptile,6,2400,1200,,,,"('Ignition Effect', 'Summoning condition')","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:30:25 2020
Worm Falco,58760121,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,2,500,800,,,,"('Flip effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:30:50 2020
Worm Gulse,85754829,Monster Card,,Effect Monster,,LIGHT,Reptile,4,1500,300,,,,"('Continuous Effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:31:03 2020
Worm Hope,11159464,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,1,800,1500,,,,"('Flip effect', 'Trigger Effect')","('Utopic', 'Worm')",,,Unlimited,Unlimited,Tue Mar 17 17:31:19 2020
Worm Illidan,57543573,Monster Card,,Effect Monster,,LIGHT,Reptile,5,2000,1800,,,,"('Continuous Effect', 'Ignition Effect')","('Worm',)",,,Unlimited,Unlimited,Thu Dec 10 13:50:17 2020
Worm Jetelikpse,84932271,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,3,1200,0,,,,"('Flip effect', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Fri Jun 19 11:06:27 2020
Worm King,10026986,Monster Card,,Effect Monster,,LIGHT,Reptile,8,2700,1100,,,,"('Ignition Effect', 'Summoning condition')","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:32:07 2020
Worm Linx,44811425,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,2,300,1000,,,,"('Flip effect', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Fri Jun 19 01:53:02 2020
Worm Millidith,71315423,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,4,400,1600,,,,"('Flip effect', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Thu Apr 14 23:11:26 2022
Worm Noble,07700132,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,6,1500,2400,,,,"('Flip effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:33:11 2020
Worm Opera,28465301,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,2,400,800,,,,"('Flip effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:33:34 2020
Worm Prince,54860010,Monster Card,,Effect Monster,,LIGHT,Reptile,6,2200,400,,,,"('Trigger Effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:33:50 2020
Worm Queen,81254059,Monster Card,,Effect Monster,,LIGHT,Reptile,8,2700,1100,,,,"('Ignition Effect', 'Summoning condition')","('Worm',)",,,Unlimited,Unlimited,Tue Apr 19 23:08:06 2022
Worm Rakuyeh,17649753,Monster Card,,Effect Monster,,LIGHT,Reptile,4,2100,1200,,,,"('Continuous Effect',)","('Worm',)",,,Unlimited,Unlimited,Thu Apr 14 23:11:38 2022
Worm Solid,03204467,Monster Card,,Effect Monster,,LIGHT,Reptile,4,1000,1600,,,,"('Continuous Effect', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:34:36 2020
Worm Tentacles,30299166,Monster Card,,Effect Monster,,LIGHT,Reptile,4,1700,700,,,,"('Ignition Effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:35:04 2020
Worm Ugly,76683171,Monster Card,,Effect Monster,,LIGHT,Reptile,1,100,100,,,,"('Trigger Effect',)","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:36:01 2020
Worm Victory,02088870,Monster Card,,Effect Monster,Flip monster,LIGHT,Reptile,7,0,2500,,,,"('Continuous Effect', 'Flip effect')","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:36:24 2020
Worm Warlord,35638627,Monster Card,,Effect Monster,,LIGHT,Reptile,6,2350,1800,,,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:37:00 2020
Worm Xex,11722335,Monster Card,,Effect Monster,,LIGHT,Reptile,4,1800,1000,,,,"('Continuous Effect', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Tue Mar 17 17:37:15 2020
Worm Yagan,47111934,Monster Card,,Effect Monster,,LIGHT,Reptile,4,1000,1800,,,,"('Ignition Effect', 'Trigger Effect')","('Worm',)",,,Unlimited,Unlimited,Thu Dec 17 06:06:36 2020
Worm Zero,74506079,Monster Card,,Fusion Monster,,LIGHT,Reptile,10,?,0,,,,"('Continuous Effect', 'Ignition Effect')","('Worm',)",,,Unlimited,Unlimited,Thu Feb 18 18:29:34 2021
"Wulf, Lightsworn Beast",58996430,Monster Card,,Effect Monster,,LIGHT,Beast-Warrior,4,2100,300,,,,"('Summoning condition', 'Trigger Effect')","('Lightsworn',)",,,Unlimited,Unlimited,Thu Oct  8 13:32:08 2020
X-Head Cannon,62651957,Monster Card,,Normal Monster,,LIGHT,Machine,4,1800,1500,,,,,"('A-to-Z',)","('Alternate', 'Edited')","('Name',)",Unlimited,Unlimited,Sat Sep 18 22:23:14 2021
XY-Dragon Cannon,02111707,Monster Card,,Fusion Monster,,LIGHT,Machine,6,2200,1900,,,,"('Ignition Effect', 'Summoning condition')","('A-to-Z',)","('Alternate', 'Edited')","('Name', 'Type')",Unlimited,Unlimited,Thu Aug 25 11:42:41 2022
XYZ-Dragon Cannon,91998119,Monster Card,,Fusion Monster,,LIGHT,Machine,8,2800,2600,,,,"('Ignition Effect', 'Summoning condition')","('A-to-Z',)","('Alternate', 'Edited')","('Name', 'Type')",Unlimited,Unlimited,Thu Aug 25 11:41:40 2022
XZ-Tank Cannon,99724761,Monster Card,,Fusion Monster,,LIGHT,Machine,6,2400,2100,,,,"('Ignition Effect', 'Summoning condition')","('A-to-Z',)","('Alternate', 'Edited')","('Type',)",Unlimited,Unlimited,Thu Aug 25 11:41:06 2022
Xiangsheng Magician,17086528,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,500,1500,8,,,"('Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Magician',)",,,Unlimited,Unlimited,Tue Apr 19 22:37:11 2022
Xtra HERO Wonder Driver,01948619,Monster Card,,Link Monster,,LIGHT,Warrior,,1900,,,2,"('↓', '↑')","('Condition', 'Trigger Effect')","('HERO', 'Xtra HERO')",,,Unlimited,Unlimited,Wed Jul 27 04:18:27 2022
Xyz Agent,72502414,Monster Card,,Effect Monster,,LIGHT,Spellcaster,2,900,300,,,,"('Condition', 'Ignition Effect')","('Xyz (archetype)',)",,"('Name',)",Unlimited,Unlimited,Sat Jun 26 02:04:19 2021
Y-Dragon Head,65622692,Monster Card,,Effect Monster,Union monster,LIGHT,Machine,4,1500,1600,,,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')","('A-to-Z',)",,"('Type',)",Unlimited,Unlimited,Sun Jul 24 09:36:28 2022
YZ-Tank Dragon,25119460,Monster Card,,Fusion Monster,,LIGHT,Machine,6,2100,2200,,,,"('Ignition Effect', 'Summoning condition')","('A-to-Z',)","('Edited',)","('Type',)",Unlimited,Unlimited,Thu Aug 25 11:40:10 2022
"Yakusa, Lord of the Eight Thunders",90583279,Monster Card,,Effect Monster,,LIGHT,Wyrm,8,2000,2000,,,,"('Condition', 'Ignition Effect', 'Unclassified effect')",,,,Unlimited,Unlimited,Mon Jul 18 09:39:32 2022
Z-Metal Tank,64500000,Monster Card,,Effect Monster,Union monster,LIGHT,Machine,4,1500,1300,,,,"('Continuous-like Effect', 'Ignition Effect', 'Ignition-like Effect')","('A-to-Z',)",,"('Type',)",Unlimited,Unlimited,Sun Jul 24 09:36:39 2022
ZS - Armed Sage,68258355,Monster Card,,Effect Monster,,LIGHT,Warrior,4,300,900,,,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('ZS -', 'Zexal')",,,Unlimited,Unlimited,Thu Sep  1 21:46:02 2022
ZS - Ascended Sage,04647954,Monster Card,,Effect Monster,,LIGHT,Warrior,4,900,300,,,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('ZS -', 'Zexal')",,,Unlimited,Unlimited,Thu Sep  1 22:25:27 2022
ZS - Utopic Sage,31123642,Monster Card,,Xyz Monster,,LIGHT,Warrior,4,2000,2500,,,,"('Condition', 'Ignition Effect', 'Unclassified effect')","('Utopic', 'ZS -', 'Zexal')",,,Unlimited,Unlimited,Fri Dec  3 11:40:12 2021
ZS - Vanish Sage,51865604,Monster Card,,Effect Monster,,LIGHT,Warrior,1,500,100,,,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('ZS -', 'Zexal')",,,Unlimited,Unlimited,Mon Oct 11 21:03:42 2021
ZW - Leo Arms,60992364,Monster Card,,Xyz Monster,,LIGHT,Beast,5,3000,1200,,,,"('Continuous Effect', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')","('ZW -', 'Zexal')",,,Unlimited,Unlimited,Thu Aug 26 14:46:58 2021
ZW - Lightning Blade,45082499,Monster Card,,Effect Monster,,LIGHT,Beast,5,1200,2000,,,,"('Continuous-like Effect', 'Ignition Effect', 'Unclassified effect')","('ZW -', 'Zexal')",,,Unlimited,Unlimited,Mon Oct 11 21:04:04 2021
ZW - Pegasus Twin Saber,32164201,Monster Card,,Effect Monster,,LIGHT,Beast,5,1000,2100,,,,"('Continuous-like Effect', 'Ignition Effect', 'Unclassified effect')","('Saber', 'ZW -', 'Zexal')",,,Unlimited,Unlimited,Thu Sep  1 21:45:21 2022
ZW - Sleipnir Mail,02648201,Monster Card,,Effect Monster,,LIGHT,Beast,4,1000,1000,,,,"('Continuous-like Effect', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')","('ZW -', 'Zexal')",,,Unlimited,Unlimited,Thu Jun 17 21:42:54 2021
ZW - Sylphid Wing,95886782,Monster Card,,Effect Monster,,LIGHT,Beast,4,800,1600,,,,"('Continuous-like Effect', 'Ignition Effect', 'Trigger Effect', 'Unclassified effect')","('ZW -', 'Zexal')",,,Unlimited,Unlimited,Fri Dec  3 11:48:50 2021
ZW - Unicorn Spear,76080032,Monster Card,,Effect Monster,,LIGHT,Beast,4,1900,0,,,,"('Continuous-like Effect', 'Ignition Effect', 'Unclassified effect')","('ZW -', 'Zexal')",,,Unlimited,Unlimited,Thu Jun 17 21:42:51 2021
Zaborg the Mega Monarch,87602890,Monster Card,,Effect Monster,,LIGHT,Thunder,8,2800,1000,,,,"('Condition', 'Summoning condition', 'Trigger Effect')","('Monarch',)",,,Unlimited,Unlimited,Wed Jul 13 08:38:22 2022
Zaborg the Thunder Monarch,51945556,Monster Card,,Effect Monster,,LIGHT,Thunder,5,2400,1000,,,,"('Trigger Effect',)","('Monarch',)",,"('Type',)",Unlimited,Unlimited,Thu Jul 28 01:11:13 2022
Zap Mustung,29951323,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1600,1500,,,,"('Continuous Effect', 'Summoning condition')",,,,Unlimited,Unlimited,Sat Nov 14 00:23:54 2020
Zefra Metaltron,85216896,Monster Card,,Link Monster,,LIGHT,Wyrm,,2500,,,3,"('↓', '↙', '↘')","('Condition', 'Ignition Effect', 'Trigger Effect')","('Zefra',)",,,Unlimited,Unlimited,Sat Oct 16 05:44:19 2021
"Zeradias, Herald of Heaven",12171659,Monster Card,,Effect Monster,,LIGHT,Fairy,4,2100,800,,,,"('Continuous Effect', 'Ignition Effect')","('Field Searcher', 'Zera')",,,Unlimited,Unlimited,Tue Dec 14 12:28:34 2021
The 13th Grave,00032864,Monster Card,,Normal Monster,,DARK,Zombie,3,1200,900,,,,,,,,Unlimited,Unlimited,Wed May  4 02:35:37 2022
8-Claws Scorpion,14261867,Monster Card,,Effect Monster,,DARK,Insect,2,300,200,,,,"('Ignition Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Thu Mar 31 12:45:07 2022
Abominable Unchained Soul,01966438,Monster Card,,Effect Monster,,DARK,Fiend,8,3000,1500,,,,"('Condition', 'Trigger Effect')","('Unchained', 'Unchained Soul')",,,Unlimited,Unlimited,Thu May  5 16:39:35 2022
Absolute King Back Jack,60990740,Monster Card,,Effect Monster,,DARK,Fiend,1,0,0,,,,"('Condition', 'Quick Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Thu Aug 25 17:21:41 2022
Absorouter Dragon,67748760,Monster Card,,Effect Monster,,DARK,Dragon,7,1200,2800,,,,"('Condition', 'Trigger Effect', 'Unclassified effect')",,,,Unlimited,Unlimited,Mon Dec 27 19:15:49 2021
Abyss Actor - Comic Relief,15308295,Monster Card,,Effect Monster,,DARK,Fiend,3,1000,2000,8,,,"('Condition', 'Continuous Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",,,Unlimited,Unlimited,Fri Apr  1 12:47:22 2022
Abyss Actor - Curtain Raiser,44179224,Monster Card,,Effect Monster,,DARK,Fiend,4,1100,1000,7,,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",,,Unlimited,Unlimited,Sat Apr 10 08:38:59 2021
Abyss Actor - Evil Heel,52240819,Monster Card,,Effect Monster,,DARK,Fiend,8,3000,2000,1,,,"('Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",,,Unlimited,Unlimited,Thu Mar 12 23:08:29 2020
Abyss Actor - Extras,88412339,Monster Card,,Effect Monster,,DARK,Fiend,1,100,100,3,,,"('Condition', 'Ignition Effect', 'Ignition-like Effect')","('Abyss Actor',)",,,Unlimited,Unlimited,Fri Apr  1 12:55:44 2022
Abyss Actor - Funky Comedian,99634927,Monster Card,,Effect Monster,,DARK,Fiend,1,300,200,8,,,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')","('Abyss Actor',)",,,Unlimited,Unlimited,Thu Mar 12 23:09:45 2020
Abyss Actor - Hyper Director,02368215,Monster Card,,Link Monster,,DARK,Fiend,,800,,,1,"('↓',)","('Condition', 'Ignition Effect')","('Abyss Actor',)",,,Unlimited,Unlimited,Wed Oct  6 00:21:20 2021
Abyss Actor - Leading Lady,24907044,Monster Card,,Effect Monster,,DARK,Fiend,4,1500,1000,2,,,"('Trigger Effect',)","('Abyss Actor',)",,,Unlimited,Unlimited,Wed Apr 20 03:06:40 2022
