Name,Password,Card type,Property,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Link,Link Arrows,TCG status,OCG status
Layard the Liberator,67468948,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1400,1500,,,Unlimited,Unlimited
Lee the World Chalice Fairy,21893603,Monster Card,,Effect Monster,,LIGHT,Fairy,2,100,2000,,,Unlimited,Unlimited
Legendary Dragon of White,,Monster Card,,Xyz Monster,,LIGHT,Dragon,8,3000,2500,,,Illegal,Illegal
Legendary Knight Critias,85800949,Monster Card,,Effect Monster,,LIGHT,Warrior,8,2800,1800,,,Unlimited,Unlimited
Legendary Knight Hermos,84565800,Monster Card,,Effect Monster,,LIGHT,Warrior,8,2800,1800,,,Unlimited,Unlimited
Legendary Knight Timaeus,80019195,Monster Card,,Effect Monster,,LIGHT,Warrior,8,2800,1800,,,Unlimited,Unlimited
Legendary Six Samurai - Enishi,75116619,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1700,700,,,Unlimited,Unlimited
Lemon Magician Girl,34318086,Monster Card,,Effect Monster,,LIGHT,Spellcaster,2,800,600,,,Unlimited,Unlimited
Level Warrior,97385276,Monster Card,,Effect Monster,,LIGHT,Warrior,3,300,600,,,Unlimited,Unlimited
Lib the World Key Blademaster,39752820,Monster Card,,Link Monster,,LIGHT,Cyberse,,2000,,2,"('↙', '←')",Unlimited,Unlimited
Libromancer Mystigirl,52707042,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1400,2100,,,Unlimited,
The Light - Hex-Sealed Fusion,15717011,Monster Card,,Effect Monster,,LIGHT,Rock,3,1000,1600,,,Unlimited,Unlimited
Light Dragon @Ignister,61399402,Monster Card,,Xyz Monster,,LIGHT,Cyberse,4,2300,1500,,,Unlimited,Unlimited
Light Effigy,54766667,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1500,0,,,Unlimited,Unlimited
Light End Dragon,25132288,Monster Card,,Synchro Monster,,LIGHT,Dragon,8,2600,2100,,,Unlimited,Unlimited
Light Law Medium,52253888,Monster Card,,Effect Monster,,LIGHT,Fairy,2,400,300,,,Unlimited,Unlimited
Light and Darkness Dragon,47297616,Monster Card,,Effect Monster,,LIGHT,Dragon,8,2800,2400,,,Unlimited,Unlimited
Lightning Rod Lord,40672993,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1800,100,,,Unlimited,Unlimited
Lightning Tricorn,49389523,Monster Card,,Synchro Monster,,LIGHT,Beast,8,2800,2000,,,Unlimited,Unlimited
Lightning Warrior,87259077,Monster Card,,Synchro Monster,,LIGHT,Warrior,7,2400,1200,,,Unlimited,Unlimited
Lightpulsar Dragon,99365553,Monster Card,,Effect Monster,,LIGHT,Dragon,6,2500,1500,,,Unlimited,Unlimited
Lightray Daedalus,38737148,Monster Card,,Effect Monster,,LIGHT,Sea Serpent,7,2600,1500,,,Unlimited,Unlimited
Lightray Diabolos,30126992,Monster Card,,Effect Monster,,LIGHT,Dragon,7,2800,1000,,,Unlimited,Unlimited
Lightray Gearfried,04722253,Monster Card,,Effect Monster,,LIGHT,Warrior,8,2800,2200,,,Unlimited,Unlimited
Lightray Grepher,27407330,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1700,1600,,,Unlimited,Unlimited
Lightray Madoor,82579942,Monster Card,,Effect Monster,,LIGHT,Spellcaster,6,1200,3000,,,Unlimited,Unlimited
Lightray Sorcerer,91349449,Monster Card,,Effect Monster,,LIGHT,Spellcaster,6,2300,2000,,,Unlimited,Unlimited
Lightserpent,55501446,Monster Card,,Effect Monster,,LIGHT,Reptile,3,1200,800,,,Unlimited,Unlimited
Lillybot,68812773,Monster Card,,Effect Monster,,LIGHT,Machine,4,500,2000,,,Unlimited,Unlimited
Link Disciple,32995276,Monster Card,,Link Monster,,LIGHT,Cyberse,,500,,1,"('↓',)",Unlimited,Unlimited
Link Streamer,23331400,Monster Card,,Effect Monster,,LIGHT,Cyberse,4,1600,1800,,,Unlimited,Unlimited
Linkross,85243784,Monster Card,,Link Monster,,LIGHT,Cyberse,,900,,1,"('↓',)",Forbidden,Forbidden
Little Fairy,45939611,Monster Card,,Effect Monster,,LIGHT,Fairy,3,800,800,,,Unlimited,Unlimited
Live☆Twin Ki-sikil,36326160,Monster Card,,Effect Monster,,LIGHT,Cyberse,2,500,0,,,Unlimited,Unlimited
Live☆Twin Ki-sikil Frost,54257392,Monster Card,,Effect Monster,,LIGHT,Aqua,2,500,0,,,Unlimited,Unlimited
Ljosalf of the Nordic Alfar,40666140,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1400,1200,,,Unlimited,Unlimited
Lord British Space Fighter,35514096,Monster Card,,Effect Monster,,LIGHT,Machine,4,1200,800,,,Unlimited,Unlimited
"Lorelei, the Symphonic Arsenal",,Monster Card,,Effect Monster,,LIGHT,Machine,8,2400,2000,,,Illegal,
Lubellion the Searing Dragon,70534340,Monster Card,,Effect Monster,,LIGHT,Dragon,8,2500,3000,,,Unlimited,Unlimited
Lucky Trinket,03985011,Monster Card,,Normal Monster,,LIGHT,Spellcaster,2,600,800,,,,Unlimited
"Lumina, Lightsworn Summoner",95503687,Monster Card,,Effect Monster,,LIGHT,Spellcaster,3,1000,1000,,,Unlimited,Unlimited
Luminous Soldier,57482479,Monster Card,,Effect Monster,,LIGHT,Warrior,5,2100,1400,,,Unlimited,Unlimited
Lunalight Tiger,83190280,Monster Card,,Pendulum Monster,,LIGHT,Beast-Warrior,3,1200,800,,,Limited,Unlimited
Lunalight Wolf,47705572,Monster Card,,Pendulum Monster,,LIGHT,Beast-Warrior,6,2000,1800,,,Unlimited,Unlimited
Lunar Queen Elzaim,62210247,Monster Card,,Normal Monster,,LIGHT,Fairy,3,750,1100,,,,Unlimited
"Luster Pendulum, the Dracoslayer",92746535,Monster Card,,Pendulum Monster,Tuner monster,LIGHT,Dragon,4,1850,0,,,Unlimited,Limited
"Lyla, Lightsworn Sorceress",22624373,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1700,200,,,Unlimited,Unlimited
Lyna the Light Charmer,73318863,Monster Card,,Effect Monster,,LIGHT,Spellcaster,3,500,1500,,,Unlimited,Unlimited
"Lyna the Light Charmer, Lustrous",09839945,Monster Card,,Link Monster,,LIGHT,Spellcaster,,1850,,2,"('↙', '↘')",Unlimited,Unlimited
Ma'at,18631392,Monster Card,,Effect Monster,,LIGHT,Fairy,10,?,?,,,Unlimited,Unlimited
Magical Android,43385557,Monster Card,,Synchro Monster,,LIGHT,Psychic,5,2400,1700,,,Unlimited,Unlimited
Magical Merchant,32362575,Monster Card,,Effect Monster,Flip monster,LIGHT,Insect,1,200,700,,,Unlimited,Unlimited
Magical Musket Mastermind Zakiel,30907810,Monster Card,,Effect Monster,,LIGHT,Fiend,8,2500,2500,,,Unlimited,Unlimited
Magical Musketeer Calamity,68024506,Monster Card,,Effect Monster,,LIGHT,Fiend,4,1500,1300,,,Unlimited,Unlimited
Magical Musketeer Caspar,32841045,Monster Card,,Effect Monster,,LIGHT,Fiend,3,1200,2000,,,Unlimited,Unlimited
Magical Musketeer Doc,68246154,Monster Card,,Effect Monster,,LIGHT,Fiend,3,1400,1200,,,Unlimited,Unlimited
Magical Musketeer Kidbrave,05230799,Monster Card,,Effect Monster,,LIGHT,Fiend,3,1600,200,,,Unlimited,Unlimited
Magical Musketeer Max,71791814,Monster Card,,Link Monster,,LIGHT,Fiend,,1000,,1,"('↓',)",Unlimited,Unlimited
Magical Musketeer Starfire,31629407,Monster Card,,Effect Monster,,LIGHT,Fiend,4,1300,1700,,,Unlimited,Unlimited
Magical Musketeer Wild,94418111,Monster Card,,Effect Monster,,LIGHT,Fiend,4,1700,900,,,Unlimited,Unlimited
Magicat,25531465,Monster Card,,Effect Monster,,LIGHT,Spellcaster,2,600,500,,,Unlimited,Unlimited
Magician of Faith,31560081,Monster Card,,Effect Monster,Flip monster,LIGHT,Spellcaster,1,300,400,,,Unlimited,Unlimited
Magician of Hope,67865534,Monster Card,,Pendulum Monster,,LIGHT,Spellcaster,4,2500,2000,,,Unlimited,Unlimited
Magician's Valkyria,80304126,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1600,1800,,,Unlimited,Unlimited
Magidog,47929865,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1700,1000,,,Unlimited,Unlimited
Magikey Avatar - Astartu,26988374,Monster Card,,Xyz Monster,,LIGHT,Fairy,8,3000,3000,,,,Unlimited
Maginificent Magikey Mafteal,15983048,Monster Card,,Effect Monster,Tuner monster,LIGHT,Fiend,4,1600,1600,,,Unlimited,Unlimited
Magna-Slash Dragon,72903645,Monster Card,,Effect Monster,,LIGHT,Dragon,6,2400,1200,,,Unlimited,Unlimited
Magnetic Mosquito,50074522,Monster Card,,Effect Monster,Flip monster,LIGHT,Insect,3,300,1000,,,Unlimited,Unlimited
Maha Vailo,93013676,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1550,1400,,,Unlimited,Unlimited
"Maha Vailo, Light of the Heavens",45796834,Monster Card,,Effect Monster,,LIGHT,Spellcaster,8,1550,1400,,,Unlimited,Unlimited
Mahaama the Fairy Dragon,00545781,Monster Card,,Effect Monster,Tuner monster,LIGHT,Dragon,5,0,2500,,,Unlimited,Unlimited
Mahunder,21524779,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1400,700,,,Unlimited,Unlimited
Maiden of the Moonlight,79629370,Monster Card,,Normal Monster,,LIGHT,Spellcaster,4,1500,1300,,,Unlimited,Unlimited
Maiden with Eyes of Blue,88241506,Monster Card,,Effect Monster,Tuner monster,LIGHT,Spellcaster,1,0,0,,,Unlimited,Unlimited
Majestic Dragon,21159309,Monster Card,,Effect Monster,Tuner monster,LIGHT,Dragon,1,0,0,,,Unlimited,Unlimited
Majestic Mech - Goryu,95701283,Monster Card,,Effect Monster,,LIGHT,Fairy,8,2900,1800,,,Unlimited,Unlimited
Majestic Mech - Ohka,69303178,Monster Card,,Effect Monster,,LIGHT,Fairy,6,2400,1400,,,Unlimited,Unlimited
Majestic Mech - Senku,32918479,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1000,500,,,Unlimited,Unlimited
Majesty's Fiend,33746252,Monster Card,,Effect Monster,,LIGHT,Fiend,6,2400,1000,,,Unlimited,Unlimited
Malevolent Mech - Goku En,31571902,Monster Card,,Effect Monster,,LIGHT,Zombie,6,2400,1400,,,Unlimited,Unlimited
Manju of the Ten Thousand Hands,95492061,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1400,1000,,,Unlimited,Unlimited
"Mardel, Generaider Boss of Light",13903402,Monster Card,,Effect Monster,,LIGHT,Plant,9,2400,2400,,,Unlimited,Unlimited
Marshmacaron,93749093,Monster Card,,Effect Monster,,LIGHT,Fairy,1,200,200,,,Unlimited,Unlimited
Marshmallon,31305911,Monster Card,,Effect Monster,,LIGHT,Fairy,3,300,500,,,Unlimited,Unlimited
Masked HERO Koga,50608164,Monster Card,,Effect Monster,,LIGHT,Warrior,8,2500,1800,,,Unlimited,Unlimited
Master Hyperion,55794644,Monster Card,,Effect Monster,,LIGHT,Fairy,8,2700,2100,,,Unlimited,Unlimited
"Master Peace, the True Dracoslayer",34079868,Monster Card,,Effect Monster,,LIGHT,Dragon,8,2950,2950,,,Unlimited,Unlimited
"Master Peace, the True Dracoslaying King",21377582,Monster Card,,Effect Monster,,LIGHT,Wyrm,8,2950,2950,,,Forbidden,Forbidden
"Master Pendulum, the Dracoslayer",75195825,Monster Card,,Normal Monster,,LIGHT,Dragon,4,1950,0,,,Unlimited,Unlimited
Master with Eyes of Blue,45644898,Monster Card,,Effect Monster,Tuner monster,LIGHT,Spellcaster,1,300,1200,,,Unlimited,Unlimited
Masterflare Hyperion,63101468,Monster Card,,Synchro Monster,,LIGHT,Fairy,10,3200,2600,,,Unlimited,Unlimited
Mathmech Circular,36521307,Monster Card,,Effect Monster,,LIGHT,Cyberse,4,1500,1500,,,,Unlimited
Mathmech Diameter,17946349,Monster Card,,Effect Monster,Tuner monster,LIGHT,Cyberse,4,1000,1500,,,Unlimited,Unlimited
Mathmech Sigma,27182739,Monster Card,,Effect Monster,Tuner monster,LIGHT,Cyberse,4,1000,1500,,,Unlimited,Unlimited
Mecha-Dog Marron,94667532,Monster Card,,Effect Monster,,LIGHT,Machine,4,1000,1000,,,Unlimited,Unlimited
Mechquipped Angineer,15914410,Monster Card,,Xyz Monster,,LIGHT,Fairy,3,1800,1000,,,Unlimited,Unlimited
"Mei-Kou, Master of Barriers",47731128,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1700,600,,,Unlimited,Unlimited
Mekk-Knight Avram,84754430,Monster Card,,Normal Monster,,LIGHT,Psychic,4,2000,0,,,Unlimited,Unlimited
Mekk-Knight Blue Sky,20537097,Monster Card,,Effect Monster,,LIGHT,Psychic,5,2000,2500,,,Unlimited,Unlimited
Mekk-Knight Crusadia Avramax,21887175,Monster Card,,Link Monster,,LIGHT,Cyberse,,3000,,4,"('↙', '↘', '←', '→')",Unlimited,Unlimited
Mekk-Knight Green Horizon,66022706,Monster Card,,Effect Monster,,LIGHT,Psychic,6,2100,1600,,,Unlimited,Unlimited
Mekk-Knight Indigo Eclipse,92204263,Monster Card,,Effect Monster,,LIGHT,Psychic,8,2400,2400,,,Unlimited,Unlimited
Mekk-Knight Orange Sunset,93020401,Monster Card,,Effect Monster,,LIGHT,Psychic,6,800,3000,,,Unlimited,Unlimited
Mekk-Knight Purple Nightfall,28692962,Monster Card,,Effect Monster,,LIGHT,Psychic,8,2500,2000,,,Unlimited,Unlimited
Mekk-Knight Red Moon,56809158,Monster Card,,Effect Monster,,LIGHT,Psychic,7,2300,2600,,,Unlimited,Unlimited
Mekk-Knight Spectrum Supreme,38502358,Monster Card,,Link Monster,,LIGHT,Cyberse,,3000,,3,"('↓', '↙', '↘')",Unlimited,Unlimited
Mekk-Knight Yellow Star,29415459,Monster Card,,Effect Monster,,LIGHT,Psychic,7,2200,2800,,,Unlimited,Unlimited
Mekk-Knight of the Morning Star,72006609,Monster Card,,Link Monster,,LIGHT,Machine,,2000,,2,"('↙', '↘')",Unlimited,Unlimited
Meklord Army Deployer Obbligato,03715284,Monster Card,,Effect Monster,,LIGHT,Machine,4,1200,1800,,,Unlimited,Unlimited
Meklord Astro Mekanikle,63468625,Monster Card,,Effect Monster,,LIGHT,Machine,12,4000,4000,,,Unlimited,Unlimited
Melomelody the Brass Djinn,88942504,Monster Card,,Xyz Monster,,LIGHT,Fiend,3,1400,1600,,,Unlimited,Unlimited
"Meltiel, Sage of the Sky",49905576,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1600,1200,,,Unlimited,Unlimited
Metal Shooter,07200041,Monster Card,,Effect Monster,,LIGHT,Machine,5,800,800,,,Unlimited,Unlimited
"Metaltron XII, the True Dracombatant",57761191,Monster Card,,Effect Monster,,LIGHT,Wyrm,9,3000,3000,,,Unlimited,Unlimited
Metaphys Armed Dragon,89189982,Monster Card,,Normal Monster,,LIGHT,Wyrm,7,2800,1000,,,Unlimited,Unlimited
Metaphys Daedalus,45960523,Monster Card,,Effect Monster,,LIGHT,Wyrm,7,2600,1500,,,Unlimited,Unlimited
Metaphys Decoy Dragon,12196873,Monster Card,,Pendulum Monster,,LIGHT,Wyrm,2,300,200,,,Unlimited,Unlimited
Metaphys Executor,45148985,Monster Card,,Effect Monster,,LIGHT,Wyrm,10,3000,2500,,,Unlimited,Unlimited
Metaphys Horus,36898537,Monster Card,,Synchro Monster,,LIGHT,Wyrm,6,2300,1600,,,Unlimited,Unlimited
Metaphys Nephthys,72355272,Monster Card,,Effect Monster,,LIGHT,Wyrm,8,2400,1600,,,Unlimited,Unlimited
Metaphys Ragnarok,19476824,Monster Card,,Effect Monster,Tuner monster,LIGHT,Wyrm,4,1500,1000,,,Unlimited,Unlimited
Metaphys Tyrant Dragon,18743376,Monster Card,,Effect Monster,,LIGHT,Wyrm,8,2900,2500,,,Unlimited,Unlimited
"Michael, the Arch-Lightsworn",04779823,Monster Card,,Synchro Monster,,LIGHT,Dragon,7,2600,2000,,,Unlimited,Unlimited
Milla the Temporal Magician,33225925,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1800,1000,,,Unlimited,Unlimited
Mind Master,96782886,Monster Card,,Effect Monster,Tuner monster,LIGHT,Psychic,1,100,200,,,Forbidden,Forbidden
Mind Protector,85060248,Monster Card,,Effect Monster,,LIGHT,Psychic,3,0,2200,,,Unlimited,Unlimited
"Minerva, Lightsworn Maiden",40164421,Monster Card,,Effect Monster,Tuner monster,LIGHT,Spellcaster,3,800,200,,,Unlimited,Unlimited
"Minerva, Scholar of the Sky",53666449,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1700,400,,,Unlimited,Unlimited
"Minerva, the Exalted Lightsworn",30100551,Monster Card,,Xyz Monster,,LIGHT,Fairy,4,2000,800,,,Unlimited,Unlimited
Mira the Star-Bearer,60181553,Monster Card,,Xyz Monster,,LIGHT,Warrior,1,1100,1000,,,Unlimited,Unlimited
Miracle Flipper,00131182,Monster Card,,Effect Monster,,LIGHT,Spellcaster,2,300,500,,,Unlimited,Unlimited
Mirage Dragon,15960641,Monster Card,,Effect Monster,,LIGHT,Dragon,4,1600,600,,,Unlimited,Unlimited
Mirage Knight,49217579,Monster Card,,Effect Monster,,LIGHT,Warrior,8,2800,2000,,,Unlimited,Unlimited
Mirror Force Dragon,84687358,Monster Card,,Effect Monster,,LIGHT,Dragon,8,2800,1200,,,Unlimited,Unlimited
Mirror Ladybug,45358284,Monster Card,,Effect Monster,,LIGHT,Insect,1,100,100,,,Unlimited,Unlimited
Mirror Resonator,40159926,Monster Card,,Effect Monster,Tuner monster,LIGHT,Fiend,1,0,0,,,Unlimited,Unlimited
Mithra the Thunder Vassal,22404675,Monster Card,,Effect Monster,,LIGHT,Thunder,2,800,1000,,,Unlimited,Unlimited
Moisture Creature,75285069,Monster Card,,Effect Monster,,LIGHT,Fairy,9,2800,2900,,,Unlimited,Unlimited
Mokey Mokey,27288416,Monster Card,,Normal Monster,,LIGHT,Fairy,1,300,100,,,Unlimited,Unlimited
Mokey Mokey King,13803864,Monster Card,,Effect Monster,,LIGHT,Fairy,6,300,100,,,Unlimited,Unlimited
Monoceros,58807980,Monster Card,,Effect Monster,,LIGHT,Beast,3,1000,1000,,,Unlimited,Unlimited
Moon Envoy,45909477,Monster Card,,Normal Monster,,LIGHT,Warrior,4,1100,1000,,,Unlimited,Unlimited
Moonlit Papillon,16366944,Monster Card,,Effect Monster,,LIGHT,Insect,4,1200,1600,,,Unlimited,Unlimited
"Morpheus, the Dream Mirror White Knight",01872843,Monster Card,,Effect Monster,,LIGHT,Warrior,8,1000,2800,,,Unlimited,Unlimited
Morphtronic Cameran,28124263,Monster Card,,Effect Monster,,LIGHT,Machine,2,800,600,,,Unlimited,Unlimited
Morphtronic Lantron,76865611,Monster Card,,Effect Monster,Tuner monster,LIGHT,Machine,1,200,200,,,Unlimited,Unlimited
Morphtronic Radion,55119278,Monster Card,,Effect Monster,,LIGHT,Thunder,4,1000,900,,,Unlimited,Unlimited
Morphtronic Scopen,10591919,Monster Card,,Effect Monster,Tuner monster,LIGHT,Machine,3,800,1400,,,Unlimited,Unlimited
Morphtronic Videon,84592800,Monster Card,,Effect Monster,,LIGHT,Machine,4,1000,1000,,,Unlimited,Unlimited
Mozarta the Melodious Maestra,03395226,Monster Card,,Effect Monster,,LIGHT,Fairy,8,2600,2000,,,Unlimited,Unlimited
Ms. Judge,86767655,Monster Card,,Effect Monster,,LIGHT,Fiend,4,1800,600,,,Unlimited,Unlimited
"Muninn, Wings of the Mysterune",92385016,Monster Card,,Effect Monster,,LIGHT,Fairy,3,0,2000,,,,Unlimited
Muse-A,69992868,Monster Card,,Normal Monster,,LIGHT,Fairy,3,850,900,,,,Unlimited
Musician King,56907389,Monster Card,,Fusion Monster,,LIGHT,Spellcaster,5,1750,1500,,,Unlimited,Unlimited
Mysterion the Dragon Crown,13735899,Monster Card,,Effect Monster,,LIGHT,Spellcaster,8,3000,1500,,,Unlimited,Unlimited
Mystic Piper,14198496,Monster Card,,Effect Monster,,LIGHT,Spellcaster,1,0,0,,,Unlimited,Unlimited
Mystical Capture Chain,63515678,Monster Card,,Normal Monster,,LIGHT,Fairy,2,700,700,,,,Unlimited
Mystical Elf,15025844,Monster Card,,Normal Monster,,LIGHT,Spellcaster,4,800,2000,,,Unlimited,Unlimited
Mystical Elf - Mystical Burst Stream,15613529,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,800,2000,,,,Unlimited
Mystical Elf White Lightning,15613529,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,800,2000,,,Not yet released,Unlimited
Mystical Knight of Jackal,98745000,Monster Card,,Effect Monster,,LIGHT,Beast-Warrior,7,2700,1200,,,Unlimited,Unlimited
Mystical Shine Ball,39552864,Monster Card,,Normal Monster,,LIGHT,Fairy,2,500,500,,,Unlimited,Unlimited
Mythical Beast Bashilisk,80959027,Monster Card,,Pendulum Monster,,LIGHT,Spellcaster,4,1800,500,,,Unlimited,Unlimited
Mythical Beast Cerberus,55424270,Monster Card,,Effect Monster,,LIGHT,Spellcaster,4,1400,1400,,,Unlimited,Unlimited
Mythical Beast Garuda,28570310,Monster Card,,Pendulum Monster,,LIGHT,Spellcaster,4,1200,1600,,,Unlimited,Unlimited
Mythical Beast Master Cerberus,53842431,Monster Card,,Pendulum Monster,,LIGHT,Spellcaster,8,2800,2800,,,Unlimited,Unlimited
Mythical Beast Medusa,54965929,Monster Card,,Pendulum Monster,,LIGHT,Spellcaster,4,1500,1500,,,Unlimited,Unlimited
Nebula Dragon,51786039,Monster Card,,Effect Monster,,LIGHT,Dragon,8,2000,0,,,Unlimited,Unlimited
"Neiroy, the Dream Mirror Disciple",18189187,Monster Card,,Effect Monster,,LIGHT,Fairy,3,1000,1000,,,Unlimited,Unlimited
Nekroz of Sophia,21105106,Monster Card,,Effect Monster,,LIGHT,Spellcaster,11,3600,3400,,,Unlimited,Unlimited
Neo Blue-Eyes Ultimate Dragon,56532353,Monster Card,,Effect Monster,,LIGHT,Dragon,12,4500,3800,,,Unlimited,Unlimited
Neo Galaxy-Eyes Cipher Dragon,12632096,Monster Card,,Xyz Monster,,LIGHT,Dragon,9,4500,3000,,,Unlimited,Unlimited
Neo Galaxy-Eyes Photon Dragon,39272762,Monster Card,,Xyz Monster,,LIGHT,Dragon,8,4500,3000,,,Unlimited,Unlimited
Neo Kaiser Glider,45885288,Monster Card,,Effect Monster,,LIGHT,Dragon,6,2400,2200,,,Unlimited,Unlimited
Neo Space Connector,85840608,Monster Card,,Effect Monster,,LIGHT,Warrior,4,800,1800,,,Unlimited,Unlimited
Neo Space Pathfinder,19594506,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1800,800,,,Unlimited,Unlimited
Neo Super Quantal Mech King Blaster Magna,95493471,Monster Card,,Link Monster,,LIGHT,Machine,,2500,,3,"('↓', '↙', '↘')",Unlimited,Unlimited
Neo the Magic Swordsman,50930991,Monster Card,,Normal Monster,,LIGHT,Spellcaster,4,1700,1000,,,Unlimited,Unlimited
"Neo-Parshath, the Sky Paladin",12510878,Monster Card,,Effect Monster,,LIGHT,Fairy,7,2300,2000,,,Unlimited,Unlimited
Neo-Spacian Glow Moss,17732278,Monster Card,,Effect Monster,,LIGHT,Plant,3,300,900,,,Unlimited,Unlimited
Neo-Spacian Twinkle Moss,13857930,Monster Card,,Effect Monster,,LIGHT,Plant,4,500,1100,,,Unlimited,Unlimited
Neos Wiseman,05126490,Monster Card,,Effect Monster,,LIGHT,Spellcaster,10,3000,3000,,,Unlimited,Unlimited
"Nibiru, the Primal Being",27204311,Monster Card,,Effect Monster,,LIGHT,Rock,11,3000,600,,,Unlimited,Unlimited
Night's End Administrator,03779493,Monster Card,,Synchro Monster,,LIGHT,Spellcaster,6,2300,1400,,,Unlimited,
Nikitama,24701235,Monster Card,,Effect Monster,Spirit monster,LIGHT,Fairy,4,800,1800,,,Unlimited,Unlimited
Ninja Grandmaster Saizo,37354507,Monster Card,,Link Monster,,LIGHT,Warrior,,2000,,2,"('↙', '↘')",Unlimited,Unlimited
Ninja Grandmaster Sasuke,04041838,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1800,1000,,,Unlimited,Unlimited
Noble Knight Artorigus,92125819,Monster Card,,Normal Monster,,LIGHT,Warrior,4,1800,1800,,,Unlimited,Unlimited
Noble Knight Bedwyr,30575681,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1600,1500,,,Unlimited,Unlimited
Noble Knight Borz,47120245,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1700,900,,,Unlimited,Unlimited
Noble Knight Brothers,57690191,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1200,2400,,,Unlimited,Unlimited
Noble Knight Custennin,42472002,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1000,2000,,,Unlimited,Unlimited
Noble Knight Drystan,53550467,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1800,800,,,Unlimited,Unlimited
Noble Knight Gawayn,19680539,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1900,500,,,Unlimited,Unlimited
Noble Knight Gwalchavad,13391185,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1500,1800,,,Unlimited,Unlimited
Noble Knight Iyvanne,88923963,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1700,1600,,,Unlimited,Unlimited
Noble Knight Joan,18426196,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1900,1300,,,Unlimited,Unlimited
Noble Knight Medraut,59057152,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1700,1000,,,Unlimited,Unlimited
Noble Knight Pellinore,05361816,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1900,500,,,Unlimited,Unlimited
Noble Knight Peredur,73359475,Monster Card,,Effect Monster,,LIGHT,Warrior,4,1900,300,,,Unlimited,Unlimited
Noble Knight's Shield-Bearer,34242278,Monster Card,,Effect Monster,,LIGHT,Warrior,4,800,1300,,,Unlimited,Unlimited
Noble Knight's Spearholder,07721912,Monster Card,,Effect Monster,,LIGHT,Warrior,2,800,400,,,Unlimited,Unlimited
Noh-P.U.N.K. Foxy Tune,55920742,Monster Card,,Effect Monster,,LIGHT,Beast,8,2300,2600,,,Unlimited,Unlimited
Nordic Beast Gullinbursti,65626958,Monster Card,,Effect Monster,Tuner monster,LIGHT,Beast,3,300,100,,,Unlimited,Unlimited
Norito the Moral Leader,14152862,Monster Card,,Xyz Monster,,LIGHT,Spellcaster,6,2700,2000,,,Unlimited,Unlimited
Nova Summoner,48783998,Monster Card,,Effect Monster,,LIGHT,Fairy,4,1400,800,,,Unlimited,Unlimited
Number 1: Numeron Gate Ekam,15232745,Monster Card,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,Unlimited,Unlimited
Number 2: Numeron Gate Dve,42230449,Monster Card,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,Unlimited,Unlimited
Number 3: Numeron Gate Trini,78625448,Monster Card,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,Unlimited,Unlimited
Number 4: Numeron Gate Catvari,04019153,Monster Card,,Xyz Monster,,LIGHT,Machine,1,1000,100,,,Unlimited,Unlimited
Number 6: Chronomaly Atlandis,09161357,Monster Card,,Xyz Monster,,LIGHT,Machine,6,2600,3000,,,Unlimited,Unlimited
Number 7: Lucky Straight,82308875,Monster Card,,Xyz Monster,,LIGHT,Fairy,7,700,700,,,Unlimited,Unlimited
Number 8: Heraldic King Genom-Heritage,47387961,Monster Card,,Xyz Monster,,LIGHT,Psychic,4,2400,1800,,,Unlimited,Unlimited
